similarity,topK,shrink,normalize,time,cutoff,PRECISION,PRECISION_RECALL_MIN_DEN,RECALL,MAP,MAP_MIN_DEN,MRR,NDCG,F1,HIT_RATE,ARHR_ALL_HITS,NOVELTY,AVERAGE_POPULARITY,DIVERSITY_MEAN_INTER_LIST,DIVERSITY_HERFINDAHL,COVERAGE_ITEM,COVERAGE_ITEM_HIT,ITEMS_IN_GT,COVERAGE_USER,COVERAGE_USER_HIT,USERS_IN_GT,DIVERSITY_GINI,SHANNON_ENTROPY,RATIO_DIVERSITY_HERFINDAHL,RATIO_DIVERSITY_GINI,RATIO_SHANNON_ENTROPY,RATIO_AVERAGE_POPULARITY,RATIO_NOVELTY
cosine,5,0,True,2024-12-04 23:38:24,10,0.027051415399322536,0.040564908109816,0.03432561099293477,0.012685135730282687,0.0187972018761246,0.09365976246475514,0.04050718666949111,0.030257456784272222,0.20152924971186012,0.1082916461967999,0.0040261414955712616,0.04240698106471135,0.9984340451365352,0.9998405977967195,0.6374701608037565,0.10521759660029904,0.9955929802471079,0.9954387732258787,0.2006100291023058,0.9954387732258787,0.22773968634460712,13.440567016601562,0.9998984715338375,0.37429999979353634,0.9105046233459744,0.5730875132347918,0.2631998969154294
cosine,5,0,False,2024-12-04 23:39:03,10,0.026115312174966727,0.03885888128993854,0.03291139611720005,0.01181182535889789,0.017625985351312552,0.08718826120577483,0.03836385475256401,0.02912211805748711,0.1959351193320777,0.10090558248430873,0.00397694916167845,0.05119884979263687,0.9973074226495521,0.9997279387025628,0.4824637338999502,0.08737965950525957,0.9955929802471079,0.9954387732258787,0.19504141481978957,0.9954387732258787,0.18135990886299486,13.011890411376953,0.9997858059186385,0.29807283455750755,0.88146477476703,0.691900738309338,0.2599840593141281
cosine,5,5,True,2024-12-04 23:39:42,10,0.03272144604053761,0.04910391062599127,0.04156820867307456,0.015102142966464551,0.02249130312603086,0.10936152307417069,0.04841574566780168,0.036618070237136015,0.23973238130042449,0.12769690227874908,0.003988829346176435,0.048417929424039795,0.9980170251818229,0.99979889698443,0.6734083575981742,0.12085202381889247,0.9955929802471079,0.9954387732258787,0.23863890754421313,0.9954387732258787,0.22649720590653688,13.36589527130127,0.9998567683077814,0.37225792958970966,0.905446133682164,0.6543194085723463,0.26076069951384423
cosine,5,5,False,2024-12-04 23:40:21,10,0.026115312174966727,0.03885888128993854,0.03291072110148836,0.011810032711629743,0.017625086371668652,0.08717208610596888,0.03836193249802501,0.029121853790960037,0.1959632305400163,0.10089090218682967,0.003976949538982038,0.05119879003241591,0.9973074134825102,0.9997279378003441,0.48243750163951626,0.08737965950525957,0.9955929802471079,0.9954387732258787,0.19506939780613386,0.9954387732258787,0.18136527448897052,13.01191520690918,0.9997858050163675,0.29808165319528573,0.8814664544913082,0.6918999307103163,0.25998408397949707
cosine,5,0,True,2024-12-05 17:13:05,10,0.027051415399322536,0.040564908109816,0.03432561099293477,0.012685135730282687,0.0187972018761246,0.09365976246475514,0.04050718666949111,0.030257456784272222,0.20152924971186012,0.1082916461967999,0.0040261414955712616,0.04240698106471135,0.9984340451365352,0.9998405977967195,0.6374701608037565,0.10521759660029904,0.9955929802471079,0.9954387732258787,0.2006100291023058,0.9954387732258787,0.22773968634460712,13.440567016601562,0.9998984715338375,0.37429999979353634,0.9105046233459744,0.5730875132347918,0.2631998969154294
cosine,5,0,False,2024-12-05 17:13:47,10,0.026115312174966727,0.03885888128993854,0.03291139611720005,0.01181182535889789,0.017625985351312552,0.08718826120577483,0.03836385475256401,0.02912211805748711,0.1959351193320777,0.10090558248430873,0.00397694916167845,0.05119884979263687,0.9973074226495521,0.9997279387025628,0.4824637338999502,0.08737965950525957,0.9955929802471079,0.9954387732258787,0.19504141481978957,0.9954387732258787,0.18135990886299486,13.011890411376953,0.9997858059186385,0.29807283455750755,0.88146477476703,0.691900738309338,0.2599840593141281
cosine,5,5,True,2024-12-05 17:14:25,10,0.03272144604053761,0.04910391062599127,0.04156820867307456,0.015102142966464551,0.02249130312603086,0.10936152307417069,0.04841574566780168,0.036618070237136015,0.23973238130042449,0.12769690227874908,0.003988829346176435,0.048417929424039795,0.9980170251818229,0.99979889698443,0.6734083575981742,0.12085202381889247,0.9955929802471079,0.9954387732258787,0.23863890754421313,0.9954387732258787,0.22649720590653688,13.36589527130127,0.9998567683077814,0.37225792958970966,0.905446133682164,0.6543194085723463,0.26076069951384423
cosine,5,5,False,2024-12-05 17:15:06,10,0.026115312174966727,0.03885888128993854,0.03291072110148836,0.011810032711629743,0.017625086371668652,0.08717208610596888,0.03836193249802501,0.029121853790960037,0.1959632305400163,0.10089090218682967,0.003976949538982038,0.05119879003241591,0.9973074134825102,0.9997279378003441,0.48243750163951626,0.08737965950525957,0.9955929802471079,0.9954387732258787,0.19506939780613386,0.9954387732258787,0.18136527448897052,13.01191520690918,0.9997858050163675,0.29808165319528573,0.8814664544913082,0.6918999307103163,0.25998408397949707
cosine,5,6,True,2024-12-05 17:15:48,10,0.033081269502151574,0.04959214206958207,0.04199066105701529,0.015262254144060919,0.022736480021136457,0.11021400661015034,0.04887302864383022,0.037007290598603186,0.24181261068788126,0.1287950688479185,0.0039877900498022315,0.048570860610288924,0.9979907421665201,0.9997962687339168,0.6681881377718318,0.1213766690275701,0.9955929802471079,0.9954387732258787,0.2407096485336915,0.9954387732258787,0.22518367892910612,13.356196403503418,0.9998541399051372,0.37009909133331026,0.9047891030702666,0.656386119076681,0.26069275786329477
cosine,5,6,False,2024-12-05 17:16:29,10,0.026109689933379008,0.03884299622640499,0.03289422599974412,0.01181203842400568,0.017631893592037727,0.08716872837835397,0.03835949334505658,0.029111899705954077,0.1958788969162005,0.10088772294307473,0.003976948421560224,0.05119867290238282,0.9973072301416734,0.9997279194649309,0.4824637338999502,0.0873271949843918,0.9955929802471079,0.9954387732258787,0.19498544884710095,0.9954387732258787,0.18135562721675977,13.01186466217041,0.999785786679893,0.2980657974871988,0.8814630304379718,0.6918983478162337,0.25998401093057255
