cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
84,667,0.1831679287118409,48.3875545103146,0.5132150131988524,8,8,4,0.3548014063413495,0.825331596466458,1.7722830018903428,527,0,0.08345231516268271
47,701,0.16668497047393385,34.69753272340701,0.3253237895249253,4,11,3,0.6665287374195215,0.9529358734560227,7.358799007169913,567,1,0.08366163277879195
63,584,0.37513121111231573,38.55212679180552,0.7006641581222305,5,5,2,0.742626624760827,0.7673449530391818,3.7574734713070868,72,2,0.08313719497721982
49,560,0.19854053101214292,39.708266646925516,0.6330576326592161,9,6,6,0.6843085287245179,0.7147301426974328,3.060486018503875,283,3,0.08374588462398601
81,743,0.21741692447131739,55.98458363914534,0.7039116029554484,7,13,3,0.39377886320498867,0.9537057973385147,1.7533462870644216,186,4,0.08348906794528396
58,898,0.4239666008851275,44.19658391928648,0.329061275039004,11,11,7,0.3137846620001144,0.9060414531109182,7.158515648105539,81,5,0.08288396081374903
63,960,0.26636929783833635,50.439761676248125,0.576570999008919,10,8,4,0.3896611116376788,0.7562237718662372,1.5672308696664503,247,6,0.0836544220578076
29,712,0.47176372924803495,37.408430876720004,0.459031876315078,6,13,10,0.797564263530743,0.8427864021709097,5.268682714351331,570,7,0.08406525089720839
64,878,0.2575121808853311,30.88384621611369,0.7954028255286156,9,5,9,0.6318744381700777,0.7782007978481313,1.761161927743279,374,8,0.08363105651294328
44,855,0.12210763863206897,52.295064788816816,0.6562246449015493,6,12,3,0.38164299210972724,0.7873139525756397,6.4965331509946935,659,9,0.08354392828932594
15,802,0.4932331183283067,42.1806824455838,0.43778921399715,3,15,10,0.5354006014172688,0.8752592391948018,5.427402257376995,477,10,0.08353212615845727
25,502,0.3109024282775773,37.68206195950854,0.4595525606419804,8,8,8,0.790661953030356,0.7003035442386195,4.2685108132332985,353,11,0.08382539957505873
19,633,0.3443818819782918,35.30950500671699,0.4509125289314569,7,9,8,0.7985690658114194,0.700752206124672,5.2648798979378135,401,12,0.08379649782029878
29,504,0.4950340597613184,32.250093839738234,0.41832910907814974,6,15,10,0.7961560906134015,0.9987166869237707,5.14861475179733,684,13,0.08349807256933674
29,770,0.4223900973835394,37.22451362640567,0.5255997646252201,5,13,8,0.5446295715784619,0.849216688529874,0.24727459046302336,401,14,0.0834023626362793
32,505,0.3491854379068799,41.564540796739756,0.3772921591862136,8,7,8,0.7205793727740991,0.8187581538110148,4.403536686268623,600,15,0.0837641422091975
11,608,0.4284059081135553,46.41599581775087,0.4797633760913663,6,10,6,0.6010305946138215,0.736911059152319,3.495022297849746,464,16,0.08343666303740219
37,688,0.3097268171859429,58.92800911874212,0.5738548755913586,8,13,9,0.47355832493315553,0.9044115162479084,6.223514961227224,279,17,0.08375922092054838
96,982,0.45073991808802083,33.45610958265097,0.3795707922176983,11,9,10,0.7132746242187087,0.8122997810600937,4.505987638762422,348,18,0.08351169862233958
22,556,0.10561705241641636,37.276458353011805,0.3877190502955138,7,14,7,0.7636375486806535,0.8594124461476533,7.983719784712789,475,19,0.08372672981665785
40,816,0.37770518913209017,30.00882228374191,0.485843898540031,3,11,9,0.47774700057095554,0.7377245813723396,2.9760873500707437,597,20,0.08376397901854167
21,642,0.31864161874470875,34.775101045513644,0.47482340965592174,7,9,8,0.7921419965396516,0.7034388550656172,5.35634925342493,406,21,0.08369063346408552
22,632,0.2671877057708286,36.91770701011039,0.4575891062255408,5,9,7,0.773088894361543,0.7004635967501083,6.220613266862839,340,22,0.08377103701886969
10,723,0.35767446169393546,42.08331369625967,0.417903064484943,9,7,9,0.6916494051262594,0.727319022887189,4.766438268000954,206,23,0.08350063718687892
18,542,0.3317766745919109,35.22952670695791,0.543151514595374,7,10,5,0.742192460459076,0.7455049551321594,5.688910851732403,452,24,0.08350785962120245
34,653,0.292500396486088,44.86526213591414,0.5062509333054724,8,8,8,0.6306372382090953,0.7854988445586666,4.146172486904053,519,25,0.08378759475210647
28,602,0.38525743006026864,39.721696092597284,0.5971512621257602,6,7,10,0.7547279507390744,0.8042582727853066,2.838665861758345,142,26,0.08398954927542532
27,591,0.3947325524832225,40.160847809890285,0.6243629182801737,4,7,10,0.7531216019234781,0.895005823939796,2.599554642716347,152,27,0.08377256214574778
52,538,0.4696802018655092,43.395146427058066,0.5918198542829871,6,6,10,0.6544122767866233,0.8378971449567499,0.4188775039071433,129,28,0.08385336762147703
75,688,0.4732778573203667,47.54763224332125,0.5896404345635017,6,6,10,0.6496819532337795,0.8286450286855741,0.6713227924649643,121,29,0.08343733327834865
50,607,0.45255933743356447,43.52633005807014,0.7062720895447192,4,6,9,0.5890388823845464,0.8391512555024834,2.3967698888179987,136,30,0.0836728597753051
