cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
93,738,0.443264954312248,38.069832225839676,0.5587835888508909,3,11,5,0.500397429575625,0.5165378190180856,0.6899121137709097,249,0,0.08360673708452727
148,1469,0.4434731149901577,34.98063202713142,0.5134137541795833,9,13,5,0.9323187375937404,0.7291693099016299,8.50455616866954,340,1,0.08350173291409563
120,1328,0.2503311404642621,44.35263014149563,0.5857527226766631,11,11,5,0.8831471322634088,0.8338152072951099,1.5080854590587578,496,2,0.08373779364934938
112,1337,0.46239254314800055,37.32556165517678,0.6333955572500303,5,9,9,0.6190177564997323,0.7577866267937571,6.001504194754843,149,3,0.08342144282977057
31,1466,0.22542141619456665,34.50463407783935,0.40162957527554105,10,13,6,0.9864179564501747,0.572373289033455,3.4306651571160685,471,4,0.08383611277683065
26,747,0.24589867775581706,38.38602012846293,0.41254725775093753,10,15,1,0.6379011851118993,0.8803995505330768,5.899022049530535,468,5,0.08384526482616243
40,687,0.25383797968524274,50.76332852480353,0.37878678057270143,5,15,5,0.974163818949151,0.645926429839895,6.541521328197142,378,6,0.08378685583225955
173,1224,0.2122449180343151,46.96061881384046,0.782773215613416,6,12,8,0.7912263993101305,0.5501012654923503,3.6445619699358467,403,7,0.08359895271404
191,916,0.34473197725336374,48.257596853019784,0.7011391352048927,10,11,8,0.6666398184753987,0.5719801263149504,3.7218145901646436,481,8,0.08351804288269878
168,755,0.3643024523958464,45.45396789941983,0.7830863053352521,7,8,7,0.8797679598363123,0.9566182356485273,4.897709096344668,384,9,0.08351069547030902
72,541,0.09659791885276378,30.322534494873622,0.32306731417935836,8,5,1,0.5055710743830044,0.9754248048061831,9.241042967585798,222,10,0.08339455252238617
10,1045,0.1622062297465115,39.7724996033055,0.43978904974258826,11,15,2,0.7454528235428182,0.8712701080301131,2.5069401731064667,455,11,0.0837125960961657
10,1001,0.1692821960865012,31.447174595615046,0.4635858505298496,9,14,3,0.6355987046298697,0.6657955621727707,7.377259207023904,311,12,0.0834744941404544
57,863,0.317410758677046,34.26140390219133,0.3075565954113967,9,13,3,0.7913852161254564,0.8800083071993168,4.760184905672559,86,13,0.08345996758255851
38,1153,0.24504918082571328,41.97024727193978,0.4069563985042537,10,15,10,0.7259941330460782,0.7860705143327273,3.1351468788945986,447,14,0.08356724510240479
36,527,0.14938786598768464,53.75602893227756,0.49437377664121696,8,13,7,0.5766264266050299,0.6322252418716625,5.920477811811942,512,15,0.08351970239767185
81,1433,0.2984385485449129,34.104326426284175,0.8782434111673647,11,6,3,0.9963121843707233,0.9146043709259277,1.9906784803046662,422,16,0.08367021383972689
59,1127,0.389951912646195,41.23282323601511,0.3697598506590556,10,14,1,0.6865347417915506,0.8052122716155738,7.590351476639029,350,17,0.08355091384495267
131,857,0.2099649915743144,36.715043416338794,0.6422584831053519,8,9,6,0.8198246531560422,0.6998414463670899,0.3270663300315446,248,18,0.08324206868636508
24,656,0.2821046185749202,32.536889712367326,0.5237052560108715,7,12,4,0.5793782949814724,0.6074129002585403,4.354731138321698,448,19,0.08385709409584062
20,637,0.3902498828363039,31.92244715206289,0.5453899338147721,6,7,4,0.5772220051994077,0.9254647777862296,4.711377969433811,299,20,0.0839981797837369
29,617,0.38744085403664114,31.881103641580175,0.52139688102558,6,7,4,0.5683792601593499,0.9960173343016869,4.815678534091771,196,21,0.08371024065498231
52,640,0.29944029850587467,32.64115145988744,0.5597477458101878,6,10,2,0.5555005494653964,0.9302796454155225,5.578895843998309,309,22,0.08363524550991296
20,747,0.32758526773163943,30.158029599725083,0.4775703908440151,4,7,4,0.5985294408142269,0.8647485425510558,7.35505916655517,424,23,0.08396132512773216
11,594,0.49343447876511504,30.15543203502204,0.6359272430121417,3,7,4,0.5948322976805043,0.8232479828519131,7.453764992404332,414,24,0.08382793539898568
68,822,0.3374072663420622,32.96426809938574,0.4639027082283986,4,6,4,0.5348732516741757,0.9226501918749559,4.249159830080076,351,25,0.08393423168626536
94,842,0.407809268314679,30.12483840750179,0.456757760955392,4,5,4,0.535843848919345,0.9195590429447087,9.678157375375111,269,26,0.08351986823154399
71,798,0.33397882453261246,35.94255359444439,0.6866195104612793,4,6,2,0.6874205510129366,0.8565607166391099,6.605822847069897,346,27,0.08367938872537388
