cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
34,644,0.3233577893303566,43.09867536771734,0.4506098414014415,10,8,5,0.606514957633355,0.8361325822740454,5.782362657929556,525,22,0.08361550302748699
30,500,0.39984862747928984,45.46735387170001,0.5561361589977772,9,7,6,0.49818514954560417,0.9224595271037643,5.348922357005689,611,23,0.08368002584784852
38,646,0.35667887919546104,42.789319309757715,0.5153260311193704,10,9,8,0.6654788784435192,0.7642950245045486,6.438007706797377,570,24,0.08361510246616528
35,565,0.40926084563657505,44.96725498096155,0.4020517964928595,11,7,7,0.8179025976318128,0.873603929646952,4.937821676919433,699,25,0.08360915765348823
33,604,0.3220876232429336,47.42717687939859,0.4671541849049263,8,10,5,0.5115622671276234,0.8281566743266948,5.543400129595294,504,26,0.08365183026120326
37,660,0.30805208477474993,40.302723797435895,0.5652109249704469,10,8,6,0.6543869380051874,0.9091735663136136,6.797800673919228,424,27,0.08394747045217041
39,702,0.3799116617808398,42.35870005086729,0.5345248278873833,11,12,9,0.7862862790733027,0.7896504498106319,6.1636730611861905,561,28,0.08360664293056753
31,631,0.4146477468487841,37.94503110529309,0.4635387276302498,6,10,9,0.6950904508592242,0.7286748540975163,5.1229519768250205,632,29,0.08398402981037222
35,590,0.48843449851501897,46.522537688197254,0.4319278666812683,9,9,10,0.6111606561896932,0.8132330732729922,5.900773748486171,549,30,0.08392821802920736
32,779,0.4596755964921617,41.86505922710809,0.36120688493552955,4,7,5,0.7630107225668084,0.7326215111784307,4.169501508856247,393,31,0.08369099745420536
31,758,0.451179609158824,41.084942314028616,0.33936214657771024,6,6,5,0.7206656906619903,0.6526954148323698,4.651395295666586,324,32,0.08396288905308973
26,729,0.49083795112136397,44.25776788619029,0.504532473949171,6,6,5,0.7859650888393562,0.6890185505602618,6.13015757815276,408,33,0.08408066952943476
24,670,0.4914736004962592,44.092551485685426,0.49095220796805794,6,5,6,0.8027931193196282,0.6129279286629361,6.1305300604207424,355,34,0.08384466886362028
26,792,0.5387036283379668,45.441314426792445,0.515302749215346,6,6,7,0.8490058398757636,0.6228381338962123,6.685811241631085,480,35,0.08395167426635722
22,684,0.33437247476495857,47.36556940516317,0.4766468644403149,7,8,5,0.5716725904269286,0.6728658106178255,5.641802609819003,458,36,0.08385576646776152
33,637,0.48608890608882493,35.51632319208358,0.41014453718242,10,7,5,0.7160229120221875,0.6439346361661963,5.153768971416882,287,37,0.08390199188024129
23,670,0.43970381326777214,45.65377071901336,0.4481705885389521,7,6,6,0.7388521200388343,0.9498179578193854,7.250528602069664,422,38,0.08363268927820923
28,722,0.5191772845804762,48.191945698321874,0.49341954851811975,4,10,7,0.6351544630854195,0.746269345177293,6.285822187095372,388,39,0.08367987348051503
36,754,0.354601481111093,42.94656563795625,0.5278394149478798,8,5,5,0.7831524500402111,0.6942315615355559,5.959828350362532,541,40,0.0838930286621054
32,716,0.4713576746978882,41.38422244062855,0.30243093375046404,5,6,5,0.7623184051847496,0.7140078082315052,4.018299843256537,417,41,0.08403314595335844
33,735,0.4699890843746396,42.297128674241115,0.3323327327221888,5,6,5,0.8385667904307663,0.7106362413166072,4.465678377388271,377,42,0.08394202031899464
34,702,0.47820498358177316,44.16243202722881,0.5429754107051369,5,5,6,0.7466818572612962,0.7710522039443539,4.828959103194638,414,43,0.08376919008599423
32,612,0.5062342190570843,38.91347523443986,0.3715839851504004,6,9,5,0.6782255543190985,0.6762915575876626,6.9531964520538025,329,44,0.08387837664311865
30,716,0.5019645933860003,40.41989171584751,0.5159603878083215,4,11,6,0.7822240209311523,0.7518597613273618,7.456666405494129,452,45,0.08387505882073347
37,733,0.4396076697400295,41.67704843213643,0.594849096173132,11,7,5,0.6991588725508062,0.7388954679952094,5.247596793843638,498,46,0.08386843458964821
28,687,0.5220270554422547,43.56906557956274,0.3832144028003457,5,8,6,0.8870714624231447,0.8580863591405207,4.394286140725744,580,47,0.08374783816211398
35,660,0.31259495797527637,44.5127337207553,0.5773159326451129,10,12,7,0.5997902813938171,0.7085419963546761,4.0243789818268825,349,48,0.0838726512487043
36,568,0.3319360059436274,45.15642791494314,0.30932534471483164,7,9,5,0.7597098425768082,0.7959917915896816,6.502102427918642,299,49,0.08374915277984481
40,766,0.4268494841636423,49.25093676787546,0.35263509087184086,11,5,6,0.7375475319670213,0.8813206943572575,4.915129716312679,437,50,0.08379414304998202
31,730,0.456843835746097,41.33173427840851,0.30358526975887745,5,6,5,0.8235485350436442,0.7221709773573113,4.248021114435588,401,51,0.08395521042914554
34,743,0.44910408143093833,39.96532092173522,0.3157308821472327,5,6,5,0.7695046655033337,0.6894057889578536,4.659013209200852,366,52,0.0838757663976694
29,707,0.4724473655161801,42.68282366589682,0.3178690144228327,4,6,5,0.7146567079424498,0.7212022497340814,4.031540919089293,506,53,0.08393057976312501
26,623,0.47789648874099505,38.08263973805252,0.33787065102676495,6,7,5,0.8672750253838394,0.765768668385655,7.861095112379033,473,54,0.08384376411884642
32,695,0.30018919518097886,46.04086444457364,0.34738783599261813,5,8,5,0.7995593276214586,0.8492288571100123,4.603637814132021,411,55,0.08382208482077212
29,744,0.34557726979893083,43.38149042055378,0.32577495138824175,8,11,6,0.6300471098827436,0.674078702413888,5.531383631260647,258,56,0.08389775012181137
35,673,0.4980257914622985,47.01659365306116,0.5257262027830347,10,5,5,0.6631014842187642,0.81293817676969,4.317519831337537,593,57,0.08387669627759661
37,604,0.31613095690368,40.865040174416514,0.49842243723766033,11,13,8,0.588459299003196,0.696015093859159,5.8069061491005325,431,58,0.08378560302822341
20,715,0.366627694298887,44.138386179342554,0.5538335933986309,4,9,6,0.6816720208456662,0.7755708882940826,7.64941694364652,334,59,0.08373358996486319
30,537,0.4151809025744521,41.73061787705706,0.5113954031460148,9,7,6,0.5313953997533538,0.6358714847971009,5.000894194681867,536,60,0.08372132807536115
31,652,0.4136689569323813,36.24942863940112,0.42547118021753944,6,10,9,0.6999370427818263,0.7260953568996231,5.472932343566704,632,61,0.0839297581522009
33,621,0.39210405551028005,38.006030160055666,0.4736225998047384,6,10,10,0.7283217760776096,0.7584005390225466,5.138676508723394,660,62,0.08372102981679833
31,634,0.42088831038151653,38.79479157080101,0.45564582954897415,5,10,9,0.6440813444169164,0.7130754625175236,4.15305953563153,699,63,0.08386486415449652
32,637,0.4055944434624788,37.593725906886185,0.4363491524278665,7,12,8,0.7553500784255665,0.7380710839461466,6.163729403675744,677,64,0.0839536968769617
34,591,0.42979625880271605,44.86473874746386,0.48305887971029965,5,11,8,0.7015852419725668,0.9324736750689506,5.675207405561141,641,65,0.083729085816897
