,topK,alpha,result
43,47.0,0.37840661044783963,0.050837174190863414
44,18.0,0.37124737114177636,0.05391866641142576
45,67.0,0.3710525890298191,0.049401232287208385
46,2.0,0.3679698106760591,0.036967434927416186
47,46.0,0.37578182950290256,0.05093661480672137
48,105.0,0.37167240248004174,0.04730171559046617
49,130.0,0.37427822191619753,0.046052045794889376
50,374.0,0.3793756718865513,0.039340922011068404
51,19.0,0.3806167171083347,0.05377941385144902
52,16.0,0.38075344267003214,0.0539196592558066
53,18.0,0.37713423678452485,0.05395291061812297
54,264.0,0.37745383545354505,0.04140199331915954
55,43.0,0.37264583864203077,0.051179625182280114
56,74.0,0.37609499405368235,0.04894324990763033
57,15.0,0.3825034565252322,0.05406111169119814
58,12.0,0.3823133331698621,0.05416216428473075
59,53.0,0.38290337532459084,0.05032865603229752
60,93.0,0.3812311673116907,0.0479140852712745
61,13.0,0.38269443617694476,0.054112652585677365
62,11.0,0.3828298601269544,0.054025276702380366
63,38.0,0.3834598400454978,0.05162442838936793
64,3.0,0.3821071225033747,0.04375054550663009
65,11.0,0.37917406508748114,0.05405249737174926
66,35.0,0.3793225104266755,0.051963276136570764
67,55.0,0.3833931359108975,0.05022670653215563
68,11.0,0.3864827630108883,0.054062505019997764
69,190.0,0.3886351390601959,0.04358616171270601
70,9.0,0.38601139240266064,0.053675348142553474
71,33.0,0.38255306614518153,0.05208640445757951
72,11.0,0.3864379777137901,0.05406192270003503
73,41.0,0.3899054400745247,0.05135434125109811
74,2.0,0.38716700549045546,0.03684675078847329
75,71.0,0.3840392543436839,0.04917009923088966
76,11.0,0.3500167582578871,0.05408044426773832
77,28.0,0.3517270224972769,0.05272954785197382
78,57.0,0.3579726844535502,0.0501286692850967
79,26.0,0.3610037660424361,0.05288219153998239
80,37.0,0.38650333303552403,0.051723113774163304
81,12.0,0.3500526106196078,0.0541594936449017
82,11.0,0.3532602518517629,0.054118147811992
83,10.0,0.3502756931446088,0.0538791690539534
84,25.0,0.3545645849019676,0.05305146035137151
85,50.0,0.35029844862978377,0.050578481336308684
86,38.0,0.35315683445821083,0.05160493182617144
87,62.0,0.3522470753909285,0.04977125200130478
