topK,alpha,iteration,RECALL,MAP
23,0.302002970689074,58,0.02750593844041411,0.02750593844041411
12,0.3854089702704676,59,0.02758410714742718,0.02758410714742718
14,0.4119872868634672,60,0.02766692765180941,0.02766692765180941
13,0.2182262576811303,61,0.02772930812884099,0.02772930812884099
15,0.23901432725944302,62,0.027685741664015086,0.027685741664015086
18,0.26739039215905874,63,0.027655025632305427,0.027655025632305427
6,0.32050496103963927,64,0.026333446685899417,0.026333446685899417
12,0.2930257431213229,65,0.027673732233812715,0.027673732233812715
10,0.33650683496540507,66,0.027504455258644186,0.027504455258644186
21,0.3559184709495706,67,0.027604574598785955,0.027604574598785955
18,0.36856389167706405,68,0.027633535493978744,0.027633535493978744
15,0.5989222598627907,69,0.027466273040736726,0.027466273040736726
13,0.4588748912712615,70,0.027578860020549083,0.027578860020549083
13,0.223586085334654,71,0.027735449963982473,0.027735449963982473
16,0.2019172146328705,72,0.027571704639775867,0.027571704639775867
11,0.23131169909463792,73,0.027627297674809086,0.027627297674809086
41,0.2766155068697884,74,0.026749199218963543,0.026749199218963543
8,0.24473606775828355,75,0.027077038380812768,0.027077038380812768
17,0.31458691869252475,76,0.027741844328531544,0.027741844328531544
20,0.3035714709376377,77,0.027611558579508717,0.027611558579508717
17,0.34847312783619844,78,0.027742427088703107,0.027742427088703107
17,0.35278361569776595,79,0.02773589103344555,0.02773589103344555
22,0.3462475654608025,80,0.027564495553653433,0.027564495553653433
18,0.3180930520380374,81,0.02766124631147018,0.02766124631147018
17,0.39334573949945734,82,0.027721101494424832,0.027721101494424832
19,0.3501094785430249,83,0.02762202769459092,0.02762202769459092
17,0.36364608230608486,84,0.027725819566480573,0.027725819566480573
24,0.6388139272952259,85,0.027365793760488918,0.027365793760488918
14,0.3340257294401734,86,0.027746841211336023,0.027746841211336023
20,0.32856491816075833,87,0.027601171736450804,0.027601171736450804
14,0.3370754441085022,88,0.02774658296859334,0.02774658296859334
15,0.3125483733242795,89,0.027742221408642524,0.027742221408642524
15,0.2908288558631448,90,0.0277517512514482,0.0277517512514482
15,0.3137180247148605,91,0.027746013920425694,0.027746013920425694
15,0.29435153066118286,92,0.027769142643234872,0.027769142643234872
15,0.2907523993226192,93,0.027751499864707523,0.027751499864707523
14,0.2907884821339318,94,0.027786402628316168,0.027786402628316168
12,0.291478415076463,95,0.027668833620370564,0.027668833620370564
9,0.2812560959135515,96,0.02736764602370085,0.02736764602370085
14,0.25954740276655386,97,0.02773163802686019,0.02773163802686019
15,0.33400125991188323,98,0.027740145182697993,0.027740145182697993
10,0.2944065036598079,99,0.0274923498444137,0.0274923498444137
11,0.26663808601592764,100,0.027593469018183162,0.027593469018183162
15,0.31065633330546705,101,0.027750189225654948,0.027750189225654948
14,0.28240191208196297,102,0.02776890496849817,0.02776890496849817
14,0.2855525169215008,103,0.027775522153112932,0.027775522153112932
14,0.5520889989401909,104,0.027522411127930402,0.027522411127930402
12,0.27743581954777835,105,0.027657451514353025,0.027657451514353025
13,0.2977329487922416,106,0.027703625545279997,0.027703625545279997
9,0.2548466140814967,107,0.02742334189876435,0.02742334189876435
14,0.2818434390428794,108,0.02777151939060119,0.02777151939060119
