,topK,shrink,feature_weighting,normalize,result
155,49,23.381655747483318,BM25,True,0.017918785171290474
156,48,24.097449120089678,BM25,True,0.017918611485906028
157,48,23.62793569348665,BM25,True,0.017902868962604755
158,47,24.554052863511725,BM25,True,0.017872180354903344
159,49,22.644113733373324,TF-IDF,True,0.015135960233360515
160,46,11.762683629270565,none,True,0.00017813492977625632
161,50,24.42779649187858,BM25,True,0.01793226292859165
162,50,7.702425239249304,BM25,True,0.01728078504879655
163,49,24.551345430039856,BM25,True,0.017937562618151895
164,49,24.98111182023604,BM25,True,0.017937562618151895
165,49,23.9553074815732,BM25,True,0.017918785171290474
166,48,23.198300340886288,BM25,True,0.017902868962604755
167,24,24.996810771459103,BM25,True,0.017692365704632597
168,49,23.625595657689324,BM25,True,0.017918785171290474
169,47,24.26436544000786,BM25,True,0.017872180354903344
170,48,24.554427715917775,BM25,True,0.017918611485906028
171,50,24.589621348933687,BM25,True,0.01793226292859165
172,49,23.968484934898488,BM25,True,0.017918785171290474
173,50,24.947486221577357,BM25,True,0.01793226292859165
174,49,24.197916224033104,BM25,True,0.017937562618151895
175,49,23.530636127253402,BM25,True,0.017918785171290474
176,48,24.099229715317612,BM25,True,0.017918611485906028
177,4,23.075907840427973,BM25,True,0.016627650301847124
178,45,24.280147798152736,BM25,False,0.014219471594212926
179,47,23.548991064739674,BM25,True,0.017848792246684533
180,49,24.954353024317427,BM25,True,0.017937562618151895
181,49,24.953730767968587,BM25,True,0.017937562618151895
182,14,24.949952637729574,BM25,True,0.017409862998797158
183,49,24.224093857960085,BM25,True,0.017937562618151895
184,48,24.989215700207602,BM25,True,0.017918611485906028
185,49,23.944320571372195,BM25,True,0.017918785171290474
186,47,24.206374160137006,BM25,True,0.017872180354903344
187,49,23.733091913909313,BM25,True,0.017918785171290474
188,46,24.662049735753346,BM25,True,0.017853589162763417
189,48,23.066345492523777,TF-IDF,True,0.015128209523078674
190,49,24.175883187483674,BM25,True,0.017937562618151895
191,49,24.22262066741363,BM25,True,0.017937562618151895
192,49,24.974799502658353,BM25,True,0.017937562618151895
193,49,23.848783863527117,BM25,True,0.017918785171290474
194,48,24.999511378857015,BM25,True,0.017918611485906028
195,49,24.538942260422093,BM25,True,0.017937562618151895
196,47,24.591657446783895,BM25,True,0.017872180354903344
197,49,24.0058100772734,none,True,0.00017813492977625632
198,48,23.503771669920173,BM25,True,0.017902868962604755
199,46,24.963268395639886,BM25,True,0.017853589162763417
200,49,24.17642682781647,BM25,True,0.017937562618151895
201,49,24.16539139447828,BM25,True,0.017937562618151895
202,48,24.146668528492974,BM25,True,0.017918611485906028
203,49,24.60166731028439,BM25,True,0.017937562618151895
204,49,23.656086338721476,BM25,True,0.017918785171290474
205,47,24.216201135188918,BM25,True,0.017872180354903344
206,48,23.28061264199586,BM25,True,0.017902868962604755
207,49,24.532103930405512,BM25,True,0.017937562618151895
208,49,16.866833235015797,BM25,True,0.017658442206645523
209,47,23.91633354095992,BM25,True,0.017848792246684533
210,49,24.57398300565354,BM25,False,0.014111712382488593
211,49,24.99200028079617,BM25,True,0.017937562618151895
212,48,24.631979969273324,BM25,True,0.017918611485906028
213,49,24.981935946496332,BM25,True,0.017937562618151895
214,48,24.955090391953753,BM25,True,0.017918611485906028
215,49,23.961082473822657,BM25,True,0.017918785171290474
216,47,24.37620451840668,BM25,True,0.017872180354903344
217,49,24.58744829710789,BM25,True,0.017937562618151895
218,46,24.975716169330724,BM25,True,0.017853589162763417
219,48,24.241031944400934,BM25,True,0.017918611485906028
220,49,23.629033108364613,BM25,True,0.017918785171290474
221,49,24.491046568692724,BM25,True,0.017937562618151895
222,49,24.53376834603114,BM25,True,0.017937562618151895
223,48,24.439485645474548,BM25,True,0.017918611485906028
224,49,23.992643258572052,BM25,True,0.017918785171290474
225,47,24.542006298857686,BM25,True,0.017872180354903344
226,49,23.738308915365586,BM25,True,0.017918785171290474
227,48,24.20481749304454,BM25,True,0.017918611485906028
228,46,23.246345190527517,BM25,True,0.01784696969281463
229,50,24.581557910710522,BM25,True,0.01793226292859165
230,49,24.97219046800239,BM25,True,0.017937562618151895
231,49,24.937335754527147,BM25,True,0.017937562618151895
232,48,24.98823043264291,BM25,True,0.017918611485906028
233,49,9.886261586509491,BM25,True,0.017375332744631457
234,50,24.26909438032417,BM25,True,0.01793226292859165
235,48,24.53058029607821,BM25,True,0.017918611485906028
236,49,23.990561457811754,BM25,True,0.017918785171290474
237,47,24.56462888180605,TF-IDF,True,0.015120824466237854
238,50,23.731514417384393,BM25,True,0.017914151656592985
239,49,24.10239493205392,BM25,True,0.017937562618151895
240,47,24.963350059140843,none,True,0.00017813492977625632
241,49,24.57898073500793,BM25,True,0.017937562618151895
242,49,24.559631736240622,BM25,True,0.017937562618151895
243,50,24.129618053399597,BM25,True,0.01793226292859165
244,48,24.904845118803777,BM25,True,0.017918611485906028
245,49,24.986139927726985,BM25,True,0.017937562618151895
246,48,24.180879128159898,BM25,True,0.017918611485906028
247,50,24.995302444843407,BM25,True,0.01793226292859165
248,48,23.501090816383055,BM25,True,0.017902868962604755
249,49,24.51129619319838,BM25,True,0.017937562618151895
250,50,23.87055099933578,BM25,True,0.017914151656592985
