,topK,shrink,feature_weighting,normalize_avg_row,similarity_from_distance_mode,normalize,result
163,3,12.948242635848423,TF-IDF,False,log,True,0.02426384706727611
164,5,21.24885819251123,TF-IDF,False,log,True,0.023945887404335564
165,2,22.727463930682575,none,False,log,True,0.024016437950438972
166,4,24.438160389890268,TF-IDF,False,log,True,0.024259141564557475
167,7,21.93444980309271,TF-IDF,False,exp,True,0.023237525275793692
168,29,20.142901357704265,TF-IDF,True,log,False,0.012974211376941637
169,3,23.549584220409596,BM25,False,lin,True,0.016769700950333546
170,5,21.149199920580315,TF-IDF,False,log,True,0.023945294360160973
171,3,22.414428649880833,TF-IDF,False,log,True,0.024264278995403264
172,18,22.368352965064126,TF-IDF,False,log,True,0.020280260793175173
173,2,22.989732768417237,TF-IDF,False,log,True,0.024073077668447074
174,3,21.75519317018088,TF-IDF,False,log,True,0.024264059603338675
175,4,24.092515829489926,TF-IDF,False,log,True,0.02426068530767862
176,2,22.267387669616653,none,False,log,True,0.024017946270883023
177,6,20.68515763596424,TF-IDF,False,log,True,0.02360889547979185
178,4,22.68533661118339,TF-IDF,False,log,True,0.024261636006625176
179,3,21.685685980440255,TF-IDF,False,lin,True,0.024255970663623973
180,5,5.354987913223504,TF-IDF,False,log,True,0.023946298764456666
181,3,22.23418868397337,TF-IDF,False,log,True,0.024264278995403264
182,2,23.2285440056951,TF-IDF,False,log,True,0.024072981684418817
183,3,21.23049704901822,TF-IDF,False,log,True,0.024263991043318493
184,4,22.129480370649826,TF-IDF,False,log,True,0.024263058627043994
185,5,22.60934614356237,TF-IDF,False,log,True,0.023945157240120602
186,2,23.600709504967792,TF-IDF,False,log,True,0.024073077668447074
187,3,20.861814805264224,none,False,log,True,0.024256672261163813
188,4,21.576809763260407,TF-IDF,False,log,True,0.024261636006625176
189,6,23.0389485828499,TF-IDF,False,log,True,0.023608297864949248
190,3,20.366739710016418,TF-IDF,False,lin,True,0.02425569642354324
191,3,22.036632168751385,TF-IDF,False,log,True,0.02426434755542345
192,2,22.00034066176569,TF-IDF,False,log,True,0.024073077668447074
193,3,21.361720585714615,TF-IDF,False,log,True,0.024264278995403264
194,4,21.406060345848562,TF-IDF,False,log,True,0.024261810834676645
195,4,20.997274874702633,TF-IDF,False,log,True,0.02426127949452022
196,35,22.187242399590566,TF-IDF,False,log,True,0.018166423964195218
197,2,21.629275782697228,TF-IDF,False,log,True,0.024074013512722585
198,3,20.62214618351641,TF-IDF,False,log,False,0.0114627108906225
199,15,22.900652414529176,none,False,log,True,0.020759977539737136
200,5,19.95536537452001,TF-IDF,True,exp,True,0.02395574519257104
201,43,22.362079041676207,TF-IDF,False,log,True,0.017292914459034046
202,3,23.935501490148752,TF-IDF,False,log,True,0.02426466293151629
203,3,21.206962142151646,TF-IDF,False,log,True,0.024264278995403264
204,3,21.164307427218812,TF-IDF,False,log,True,0.02426434755542345
205,4,20.971207065707876,TF-IDF,False,log,True,0.024261636006625176
206,3,21.833345610609577,TF-IDF,False,log,True,0.024263991043318493
207,2,21.301075097201785,TF-IDF,False,log,True,0.024074013512722585
208,5,24.1594860190051,TF-IDF,False,log,True,0.023948252725031906
209,2,20.476877666664542,TF-IDF,False,log,True,0.024073077668447074
210,3,9.981719608266012,TF-IDF,False,log,True,0.024264189867377026
211,3,14.670574238085173,TF-IDF,False,log,True,0.024263655099219593
212,4,10.773572307224843,TF-IDF,False,log,True,0.024260476199617062
213,3,6.593273201511766,TF-IDF,False,log,True,0.024260991542435446
214,4,7.866108509312829,TF-IDF,False,log,True,0.02426577360384329
215,2,8.495271749780487,TF-IDF,False,log,True,0.0240742054807791
216,22,11.980188810617527,TF-IDF,False,log,True,0.019721314944621662
217,4,7.366071648298458,TF-IDF,False,log,True,0.024263476843167122
218,4,22.615160743074522,TF-IDF,False,log,True,0.024261731990653432
219,5,8.756378319307824,TF-IDF,False,log,True,0.023946666703231655
220,3,23.350149194885805,TF-IDF,False,log,True,0.024263991043318493
221,2,9.681355029071828,TF-IDF,False,log,True,0.024074229476786165
222,4,5.212573559979111,TF-IDF,False,log,True,0.024266184963964398
223,4,21.782911941388992,TF-IDF,False,log,True,0.02426127949452022
224,3,2.17242428719286,TF-IDF,False,log,True,0.02425782635483695
225,5,4.19291694140062,TF-IDF,False,log,True,0.02394635704047382
226,3,21.947579227788736,TF-IDF,False,log,True,0.024264278995403264
227,2,5.512848501784209,BM25,False,log,True,0.01490252593397071
