topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
13,17.333878687042255,TF-IDF,False,0.2825913273742716,1.4718824690145653,59,0.04072480228044004,0.04072480228044004
4,13.694125313983998,TF-IDF,False,0.16873113978388843,2.058941177709035,60,0.04268242539898776,0.04268242539898776
4,11.961663663862193,TF-IDF,False,0.22051956281579801,2.0708335862873457,61,0.04277408779410945,0.04277408779410945
2,16.615120004287313,TF-IDF,False,0.22588751703640025,2.0472223004746386,62,0.04150288842093343,0.04150288842093343
4,13.709045761533355,TF-IDF,False,0.17794294300916466,1.9005171950078141,63,0.04274825340021577,0.04274825340021577
7,15.019189446485465,TF-IDF,False,0.17021381188401521,1.9186492208283208,64,0.04206681124549976,0.04206681124549976
4,13.2748152070569,TF-IDF,False,0.18431043033568184,2.102744353107232,65,0.04271276689266247,0.04271276689266247
3,13.43385766015036,TF-IDF,True,0.20180463056258977,2.108335971568097,66,0.04258075586734294,0.04258075586734294
4,11.913744041161815,TF-IDF,False,0.1832028266802951,2.1964115114506355,67,0.04265756703620444,0.04265756703620444
19,15.68321417968783,TF-IDF,False,0.17811518081443184,2.2029079532535563,68,0.04019187013421282,0.04019187013421282
16,11.733570344871936,BM25,False,0.24978994966845774,2.2932513280074334,69,0.03732406081237234,0.03732406081237234
4,17.87698286193333,TF-IDF,True,0.1567027212453425,2.224338975230754,70,0.042690177295035284,0.042690177295035284
4,18.59506420964477,TF-IDF,True,0.1597817386518228,2.2204701839528473,71,0.04273414039610026,0.04273414039610026
4,17.38321996889731,TF-IDF,True,0.21311736211167667,2.35130249857536,72,0.04276415617038595,0.04276415617038595
6,18.346902682200646,TF-IDF,True,0.16057486092188084,2.371992071776555,73,0.04240331882134961,0.04240331882134961
4,19.397318139218694,TF-IDF,True,0.21164012113637076,2.2644307166417477,74,0.04278388529808467,0.04278388529808467
2,20.658670167237695,TF-IDF,True,0.23439739976217894,2.132728793577823,75,0.041527443605462185,0.041527443605462185
6,22.730558588999074,TF-IDF,True,0.21539463035795212,2.331515391306447,76,0.0424618987208793,0.0424618987208793
7,21.578335672347755,TF-IDF,True,0.25513973419190017,2.26536992031176,77,0.04211664969319103,0.04211664969319103
