,topK,shrink,feature_weighting,normalize,result
0,29,13.098235730029419,none,True,0.025410928192976807
1,36,7.461661363209599,none,True,0.025133588056661143
2,36,19.517293994372864,none,True,0.02526016128059094
3,48,17.308396421614248,TF-IDF,False,0.02513005950095579
4,13,8.463108592923488,BM25,True,0.023092513977102425
5,3,10.843914312725538,TF-IDF,False,0.025869639292021244
6,32,4.9596663440730575,BM25,False,0.022229834669796358
7,15,9.512724376206773,BM25,False,0.023091902650255756
8,11,16.90946195426806,TF-IDF,False,0.026022504141024666
9,12,15.034619918557873,TF-IDF,True,0.02596450236394886
10,3,23.687460149335585,TF-IDF,False,0.02589744380820703
11,16,15.48328564752553,TF-IDF,True,0.02577670389932779
12,21,21.462544713769198,TF-IDF,False,0.02552623472025632
13,9,15.488770985274824,TF-IDF,True,0.02610796077818305
14,9,2.308935026225079,TF-IDF,False,0.02598563141950253
15,22,18.852574581532224,TF-IDF,True,0.025438544169106937
16,7,12.285858083665067,TF-IDF,True,0.026415396478025495
17,6,12.443456588450305,TF-IDF,True,0.026437332256483367
18,2,11.995310737851076,BM25,True,0.022244453951433693
19,23,6.104073277798048,none,True,0.02534649777134186
20,6,13.242242360144953,TF-IDF,True,0.026428314328495146
21,7,13.73502017665403,TF-IDF,True,0.02637361143105729
22,18,11.065185060051292,TF-IDF,True,0.025636359252677047
23,6,9.81089703017889,TF-IDF,True,0.026379298484731483
24,6,13.302506359356983,TF-IDF,True,0.026428314328495146
25,47,14.111853303238144,TF-IDF,True,0.02515122055118559
26,17,17.431467925717918,TF-IDF,True,0.02572453315196875
27,5,6.704963916283251,TF-IDF,True,0.02627329440952403
28,12,3.9407398107126053,none,True,0.025824507373401195
29,29,13.305274801563352,BM25,True,0.023024960646548066
30,9,20.51238604035887,none,True,0.026116044004562803
31,6,12.333845797030454,TF-IDF,True,0.026437332256483367
32,2,12.225743133506889,TF-IDF,True,0.02520570062855781
33,43,8.842592818582046,TF-IDF,True,0.02510141626718984
34,5,10.819257858064189,TF-IDF,True,0.02634999021876991
35,14,14.648474870760216,none,True,0.025793040609470658
36,19,16.82886303551091,TF-IDF,True,0.025621602850999348
37,10,7.415507904349791,TF-IDF,True,0.026072901469195053
38,27,10.630851309439375,BM25,True,0.022843745086531572
39,37,13.256894304599452,TF-IDF,True,0.025207496901086635
40,5,16.235140286994977,none,True,0.02641995343403376
41,4,18.718390706650155,none,True,0.026429756374253027
42,8,22.678142889670234,none,True,0.026229043487163116
43,4,18.154157401903,none,True,0.026429756374253027
44,3,18.31945154065863,none,False,0.025866751772504606
45,12,19.939904285294993,none,True,0.025954868538446
46,4,21.435155936104504,none,True,0.02642596043446891
47,14,18.62894201825049,none,False,0.025788347676089077
48,10,15.527514404282272,none,True,0.026133905032487772
49,2,24.629087654326515,none,True,0.02514856499307039
50,8,17.681357517646948,BM25,False,0.024098850522701203
51,6,11.663679468949109,TF-IDF,True,0.02638256765502729
52,4,14.655754652138473,TF-IDF,True,0.02644161954307886
53,11,16.119960563142577,TF-IDF,True,0.026022504141024666
54,4,14.715660114548221,none,True,0.026440659702796278
55,4,14.282013807662036,none,True,0.026440659702796278
56,8,9.707265139597512,none,True,0.02614394450477664
57,2,14.634247623969276,none,True,0.025216941043866972
58,33,12.48725332038593,none,False,0.025295490258991825
59,4,14.084614219611307,none,True,0.026440659702796278
60,7,14.903194782910266,BM25,True,0.02403699224449008
61,4,13.919854007055257,none,True,0.026412230147759987
62,4,16.21492594349898,none,True,0.026432648464437797
63,10,16.212023562319743,none,True,0.026103888312984238
64,2,14.15163398864662,none,True,0.025216941043866972
65,7,11.58159775540802,none,True,0.026358271126541124
