topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
24,16.3357162392307,TF-IDF,True,0.41210918991826734,1.6542239530127865,25,0.11473179289611524,0.026624557102269054
9,18.96456751263914,TF-IDF,False,0.14675577855184113,1.8938426682218652,26,0.11785955845417082,0.027856096174167445
9,22.90950392565686,TF-IDF,False,0.1405533704545232,1.1675465513040586,27,0.11754174215373364,0.027598116244884636
6,19.340719259354763,TF-IDF,False,0.2935609055984808,1.4837719430840142,28,0.1184488790924235,0.02796933447417139
9,24.194463773805445,TF-IDF,False,0.28207157842986963,1.4954557575221947,29,0.11809827192356406,0.027629956660925152
23,24.74233746851465,TF-IDF,False,0.2809527076198557,1.477618843871123,30,0.11428417758256092,0.026545850199097668
10,22.705671700955225,TF-IDF,False,0.18858401044149808,1.2768922487082146,31,0.11736512043947045,0.02744925987172805
6,19.329049745234776,TF-IDF,False,0.2860305718657076,1.6909157336506841,32,0.11831100132158559,0.027998533044100805
5,21.51679230273982,TF-IDF,False,0.28895301426805425,1.6781174157534493,33,0.11861526404584104,0.028030043229377407
5,21.270164774233972,TF-IDF,False,0.29771296294501126,1.686607111661352,34,0.1185736925458122,0.02800939523663195
5,20.97051856931693,TF-IDF,False,0.1985996421974277,1.709012183310442,35,0.1184265688861023,0.028059917115505595
4,21.225554306292437,TF-IDF,False,0.21628830358647816,1.2875605592866364,36,0.11849858635211623,0.02794142597528837
2,21.68214729545162,BM25,False,0.38620472795117994,1.276036315448551,37,0.10541280086895234,0.02427201485101402
5,23.608937522848798,TF-IDF,False,0.31920453794856396,1.5514412177506365,38,0.11866717737298337,0.02796950473155483
32,23.18278184658834,BM25,False,0.2064750130886597,1.0804431824619998,39,0.10687169017428273,0.02477399417879668
4,23.71221958676178,TF-IDF,False,0.32806562534599293,1.3035691959594684,40,0.1179644458787188,0.027828528190051497
5,21.59168251384499,TF-IDF,False,0.29869204262218146,1.5339998226953637,41,0.11852118882003655,0.027956300071667422
12,21.235655938012517,TF-IDF,False,0.1010404953391762,1.3938422925667084,42,0.11768264703460478,0.027371844182270236
2,22.286227873935157,TF-IDF,False,0.3202018954332887,0.10272328449103663,43,0.10011096595439412,0.022211839949832064
5,20.18164615509561,TF-IDF,False,0.38548846704629225,1.5443677148741386,44,0.11845683058896085,0.027902882674608057
40,23.626217903131028,TF-IDF,False,0.1532887454247765,1.4062723441350586,45,0.1122200775903644,0.02588435798568768
15,24.918537121789072,BM25,False,0.6278816147212325,0.9917591277004533,46,0.10613960531870387,0.024625532025756045
11,4.9936581886869185,TF-IDF,False,0.23077498675828334,1.6482501013805304,47,0.11639145951021376,0.02742239005715113
4,14.362876190943126,TF-IDF,False,0.349335976500825,1.719661234807361,48,0.11790912502185362,0.02790138121016597
7,17.217533022011594,TF-IDF,False,0.30385145327102,1.5353325017376025,49,0.11778005690469626,0.02780575483668031
3,21.88795468347695,BM25,False,0.4663462137851738,1.2323636180021107,50,0.10638043691296643,0.024917973649184234
5,20.243720353393844,TF-IDF,False,0.3843893288431717,1.363333487449621,51,0.11838059274017376,0.02784733648892192
45,18.67714341484148,TF-IDF,False,0.23453679421756554,1.584963198557788,52,0.11196682143550027,0.02589940805278514
5,19.651874407875944,TF-IDF,False,0.4075241696335574,1.7761268601145632,53,0.11849869466454713,0.027904441272400157
11,22.079319477404194,TF-IDF,False,0.2618662128006597,1.752904530049172,54,0.11806288024320485,0.027605332187009255
8,24.006330313105725,TF-IDF,False,0.34566145139088933,1.7988742861014004,55,0.1180428101284674,0.02770259143164234
3,19.903784662561502,TF-IDF,False,0.41032432532319074,1.6312819648008299,56,0.11714127162143882,0.027595225297366927
7,20.98998407087703,TF-IDF,False,0.4888845159177927,1.4307123374634592,57,0.11747512485402464,0.027530082994189187
13,16.927329086113136,TF-IDF,False,0.5340004718505516,1.8196736463760035,58,0.11679323687624438,0.027160730740118526
18,10.530927454006527,TF-IDF,False,0.8520618658755446,1.5567872659801245,59,0.11410452230011613,0.026391301058931827
10,23.045677475497715,TF-IDF,False,0.2086168757265079,1.6839335764444132,60,0.1180420850247491,0.027656179725978683
