,topK,shrink,feature_weighting,asymmetric_alpha,result
105,4,15,TF-IDF,0.050552725802533185,0.05288391362130236
106,10,12,BM25,0.24717912083783972,0.044591012565243546
107,14,9,TF-IDF,1.254640417740992,0.015482057842255391
108,22,17,none,0.30987966235808284,0.04974505351698156
109,2,21,TF-IDF,0.17632673617160052,0.0515915869177914
110,6,14,TF-IDF,0.931349198292976,0.035791022249354515
111,5,10,TF-IDF,0.2590578173436906,0.05373075227241719
112,5,10,TF-IDF,0.2284040340272617,0.05383022192232543
113,5,10,TF-IDF,0.21541547421512883,0.05384679424701191
114,9,10,TF-IDF,0.2115693506196372,0.05268441871237749
115,11,7,TF-IDF,0.08058227039865584,0.052151268261463844
116,93,9,TF-IDF,1.9403156014866136,0.004006927932366522
117,7,4,TF-IDF,0.14398667397913528,0.05321060954558589
118,5,12,TF-IDF,0.3410754221713503,0.05335296820219902
119,2,7,TF-IDF,0.23311699505465389,0.051683854847230225
120,13,11,TF-IDF,0.17558937349951273,0.05215833610022036
121,5,10,TF-IDF,0.4040267033677106,0.05287430537704496
122,8,12,TF-IDF,0.27363653289286116,0.052825504377037584
123,4,14,TF-IDF,0.10886798656391769,0.0536010521317522
124,6,9,TF-IDF,0.29092836147365214,0.05335300055694642
125,10,14,TF-IDF,0.20087092920162414,0.052479703532333125
126,8,16,TF-IDF,0.14904724163787889,0.053122061296401735
127,4,11,BM25,0.046663918784927705,0.04498205985047954
128,11,19,TF-IDF,0.24211775482122122,0.05227881513791421
129,2,7,TF-IDF,0.30719538733486745,0.05137533224978222
130,6,13,TF-IDF,0.09004606031029784,0.05340838853722452
131,4,10,TF-IDF,0.36179617284377885,0.05326394801997695
132,2,8,TF-IDF,0.2025670250455144,0.05166209795321475
133,33,12,TF-IDF,0.25735173361544306,0.04979593860898507
134,7,9,none,0.15443776405771273,0.053874149627985285
135,8,9,none,0.12684987694400054,0.05355315594898739
136,6,10,none,0.16293174362676732,0.054355396370197144
137,55,10,none,0.15313284014443931,0.04775036884411694
138,9,5,none,0.00993810242808607,0.05255253629979329
139,15,32,none,0.08774506575259157,0.051039595962839725
140,12,2,none,0.1750725036631452,0.0519036919667384
141,5,11,none,0.2224484673203429,0.05454610863876028
142,7,11,none,0.2287054791574439,0.0537261556669432
143,7,11,none,0.2044778900879288,0.053962526062304894
144,7,11,none,0.19950231748525019,0.05396508431870085
145,10,8,none,0.17210045824927397,0.05290494085998283
146,7,9,none,1.4525779614482028,0.01846155184970976
147,4,13,none,0.1999222725842168,0.05471045513534368
148,3,11,none,0.05354064689339777,0.054390404206739996
149,2,7,none,0.04785927275112361,0.052214317622758584
150,9,13,none,0.2043688568758703,0.053093340321956735
151,4,11,none,0.1058400598510938,0.054922145552626186
152,4,11,none,0.08935003240954538,0.054883989264469836
153,7,12,none,0.08253030557457625,0.05399232366885692
154,7,12,none,0.06910824810768511,0.05401860241772344
155,61,12,none,0.0011089759815870043,0.04718021348777751
156,7,13,none,0.06190468702004232,0.05404437911016674
157,13,15,none,0.07381892583981874,0.05246981190511703
158,7,13,none,0.050371283372703995,0.054005410606286136
159,11,27,none,0.03945113198638944,0.05258014717170233
160,8,13,none,0.07584742382838376,0.05364656745139022
161,7,16,none,0.09545679076108061,0.0541998827196177
162,7,13,none,0.10093637824244449,0.0540609391623628
163,9,16,none,0.0375011278678339,0.053481990008852294
164,3,13,none,0.0898316661815087,0.05462945335203928
165,2,14,none,0.09197229402934805,0.052795205829743536
