,topK,shrink,feature_weighting,normalize,result
0,5,19.05598444469476,TF-IDF,True,0.02646552185144914
1,42,18.601870083389855,TF-IDF,True,0.024819610588226248
2,33,15.290875872595318,none,True,0.02498772547105266
3,33,6.322456487453139,TF-IDF,False,0.02484907425690041
4,30,22.627453394190013,none,False,0.0250442623490304
5,24,14.47103827656319,BM25,True,0.02285554655133922
6,40,18.88411530670276,BM25,False,0.022807824206623056
7,46,2.3321878231367874,BM25,True,0.0214099676670943
8,42,12.81860675888568,BM25,True,0.02237660567567239
9,41,9.814890794695721,none,False,0.024703754438118192
10,3,24.721548015113154,TF-IDF,True,0.025855136562418522
11,2,24.52120590694581,TF-IDF,True,0.025141474744316404
12,4,20.950935686499406,TF-IDF,True,0.0264796554996101
13,13,19.896854289864557,TF-IDF,True,0.025718495299524458
14,11,20.543576884823423,TF-IDF,True,0.025864795526595225
15,14,16.569533359450315,TF-IDF,True,0.025635248580349962
16,21,11.682606169092942,TF-IDF,True,0.02512910765934213
17,7,22.069951641706286,TF-IDF,True,0.02630663971800754
18,18,16.533642610828835,TF-IDF,False,0.02537724351239336
19,6,17.77526025180166,none,True,0.026393075620787607
20,17,9.76538745592799,TF-IDF,True,0.025392872911661306
21,8,17.419448530502677,none,True,0.02616254369558555
22,6,21.392323380364733,none,True,0.026447691675533166
23,9,21.851502433711623,none,True,0.026037663904154303
24,2,20.80495562697387,none,True,0.02518595534274479
25,15,23.278046028755377,none,True,0.025550546103413695
26,5,19.838248504732412,TF-IDF,False,0.02646552185144914
27,12,14.4249330503176,TF-IDF,False,0.025782057294237104
28,21,19.866099631294638,TF-IDF,False,0.02520049806569293
29,4,18.982350013338305,TF-IDF,False,0.026496311013846738
30,10,18.340033051413684,TF-IDF,False,0.025916433791130847
31,5,18.960938058294285,TF-IDF,False,0.02643883143559145
32,4,16.081592279519263,TF-IDF,False,0.026474106708643138
33,2,15.353829496935411,TF-IDF,False,0.025183256363283533
34,9,16.427149715526294,TF-IDF,False,0.02602012625099124
35,31,23.372649502735936,TF-IDF,False,0.02506893938562863
36,27,14.344116911746355,TF-IDF,False,0.025091823577699155
37,6,12.029848314303408,BM25,False,0.023638946479305457
38,4,2.75548504332936,TF-IDF,False,0.026112774834267036
39,17,15.495504835951476,BM25,False,0.02313728138494861
40,11,18.821738040820367,TF-IDF,False,0.025814683865175672
41,35,19.268326134903393,TF-IDF,False,0.024967622530467613
42,4,17.797209077756634,TF-IDF,False,0.026438011000683208
43,8,20.44695016286139,TF-IDF,False,0.02617450627644064
44,46,22.684906766050286,TF-IDF,False,0.02477015596033348
45,5,17.28202767850247,BM25,False,0.023951390488622323
46,2,23.909052459168393,TF-IDF,True,0.025165477607382834
