,topK,shrink,feature_weighting,tversky_alpha,tversky_beta,result
0,47,7.398989835224813,BM25,0.5160460483535293,1.4223026520608462,0.023498993767436624
1,46,21.828956332476796,TF-IDF,0.38407843964165883,0.1368455242922156,0.02307545053074569
2,42,12.458445463866376,TF-IDF,0.66770280974433,0.6725284622979413,0.02503186555471417
3,39,23.371643933685846,BM25,0.6282583476489589,0.9325314992800127,0.023997666216912437
4,39,12.78780827503741,none,0.6852314595111656,1.2393427953630805,0.025846781381291976
5,20,8.638099522839333,none,0.30575455825867365,0.1266367076670604,0.023643968500783995
6,40,19.85733308197282,none,0.1217933923719776,0.6226063539347767,0.024893785674063328
7,6,23.891049351794425,TF-IDF,0.47406023415740306,0.5991823268473436,0.026464624857851577
8,35,10.741929684195224,none,0.8693387577598678,0.9574376378679141,0.025315801164971303
9,23,21.338371273983086,BM25,0.1601108114605856,1.8469869067200992,0.02482028933242594
10,2,1.2078793048145755,TF-IDF,0.923018132663556,0.5646535806419389,0.02390155535261744
11,2,16.312502446070653,TF-IDF,0.7471834415384632,1.4215377757547003,0.02616516840169164
12,4,16.95235438737344,TF-IDF,0.7936148650908368,1.7120703075736783,0.02731669678736836
13,10,17.416542259051244,TF-IDF,0.4796940564826221,1.7968648090869013,0.027325479325953795
14,13,17.248024855413696,TF-IDF,0.824038130306492,1.8647926204038627,0.02685965398214822
15,13,16.016646340907315,TF-IDF,0.9728007612838635,1.6377861749661666,0.02651362241894321
16,12,18.671201427917676,TF-IDF,0.3870686679806099,1.618408792113261,0.02723769164810915
17,29,14.985534866912095,TF-IDF,0.7908308249934881,1.2498951551259505,0.025950241879750733
18,8,3.35418767045598,TF-IDF,0.5929605654733159,1.686835242655714,0.02724761799636485
19,19,18.916868783565405,BM25,0.23647012809958048,1.3895952464323598,0.024858187026249732
20,8,14.177148084603807,TF-IDF,0.44547357084442146,1.8885223136964646,0.027599873666735462
21,8,14.613186650526568,TF-IDF,0.4478626944481408,1.779888412115336,0.027553840183849928
22,9,14.432478407407345,TF-IDF,0.4169964300998626,1.8671890186352669,0.027559875750960073
23,16,13.988759861901677,TF-IDF,0.3940443781219505,1.5263074953635176,0.026967641727272985
24,27,10.914534340228805,TF-IDF,0.2940259329281206,1.869104366333283,0.026646215212645267
25,8,7.560495766897304,TF-IDF,0.43855184662383584,1.2253510390678504,0.027290535426333102
26,17,10.558891146332833,TF-IDF,0.31182305874681737,1.5489433469813947,0.02699715681596239
27,31,14.179273843775286,TF-IDF,0.5685265951963383,1.732980203917511,0.026339428547660568
28,7,11.59500829890728,BM25,0.5335320035529121,1.8808133726228158,0.02465840541276753
29,22,5.800278992346666,none,0.25248723105409726,1.5360808386190683,0.026719639566261392
30,15,15.089591733053643,BM25,0.5137583126225759,1.3565082006054152,0.024528590442549868
31,11,18.247152443906753,TF-IDF,0.4579591655686657,1.7976904802387297,0.027392832689782633
32,11,20.497722677451584,TF-IDF,0.43391259118797126,1.7519066678240753,0.027387421018856155
33,5,13.555725828099593,TF-IDF,0.35390535972685594,0.3444502890292046,0.026230139304819166
34,10,18.80221132548416,TF-IDF,0.43722566982813593,1.0840775547152735,0.026995490807471764
35,49,12.466531797179329,TF-IDF,0.6204112486263458,1.7680944187326415,0.025988956580481563
36,15,9.473867157923422,TF-IDF,0.49838711219492027,1.607157847694265,0.026909991891634413
37,9,22.092167518600597,none,0.6679551466031541,1.8962195069357772,0.027331437191707785
38,5,14.998162763168024,TF-IDF,0.3679631749353204,0.8351711715961555,0.027455563965584233
39,4,15.245633037036933,BM25,0.21386207129837606,0.7500674551767025,0.0255410859632952
40,6,13.148338516036265,none,0.3558789521868283,0.8243758113158879,0.027475162990020736
41,2,12.935196077263651,none,0.34785201470028204,0.766255021227513,0.026301298892435012
42,6,12.455164423289766,none,0.3423655343682692,0.8149067211454634,0.02749039702650569
43,6,11.96965405568813,none,0.2808629028996921,1.0436543977150814,0.02786022348738247
44,19,9.211464190348096,none,0.290387499619681,1.0666885281918883,0.026639546608015152
45,8,11.410252484170016,none,0.17574608126480495,0.5097628928306457,0.02706381201025225
46,4,12.11995138177135,none,0.1047997170601167,0.3169349480383884,0.027023053078253017
47,2,16.18286106239322,none,0.4076991955583902,0.46588140957141083,0.02521336563881442
48,13,10.279333357848184,none,0.31565034683410453,1.0327100450423732,0.02696369267011057
49,6,5.905160868413083,none,0.26034938355338405,1.2912187624353666,0.027654937646946442
50,36,2.8033623550676183,none,0.16543533402069371,1.1847668417478,0.025978023542596332
51,6,5.608777286854221,none,0.262014852386038,0.9182708202241749,0.02765855761601204
52,9,5.342682452470794,none,0.2649821583086623,1.137925146954152,0.027392375622981455
53,4,3.9000092602179564,none,0.20599483961964793,0.9323792456908506,0.027594868785262086
54,44,5.369843022680393,none,0.20240375102334746,0.9206045353365726,0.02563443043077576
55,4,4.152666369865097,none,0.14480754312995336,0.9531154076261363,0.027719382923252357
56,4,3.610087780038274,none,0.1440292513585475,0.9454713315412309,0.027617404463896638
57,3,6.66183196624368,none,0.12957130742913978,0.9946503719501578,0.027566924863702064
58,6,1.5683611157399104,none,0.1624188823912624,0.694779353349589,0.027327314449160717
59,13,4.184390312852486,none,0.13120205325047865,1.317008447238154,0.027162987507449516
60,7,7.915836506496825,none,0.2392181919975574,0.8894412362908919,0.027596334827026912
61,7,7.838045158419244,none,0.23017621640639757,0.8873557841031969,0.027565350268571744
62,2,2.102660640315948,none,0.27389691032074265,0.9705414808388295,0.026280145840874368
63,11,6.671550914223825,none,0.1841784822374812,1.1223964362871857,0.027336034141061113
64,5,4.879205068879715,none,0.24267343387370902,0.6660126891749196,0.027477610582741254
65,7,6.493346734271288,none,0.10522706595776454,0.8867648407308989,0.027771682791982773
66,3,6.472575335440193,none,0.10818437734659853,1.2822244741598812,0.02748751522032388
67,10,2.55416514058322,none,0.14587883123782236,1.4827403596683661,0.02724456479013258
68,7,4.295518021524963,BM25,0.19480631028947548,1.0060489157083008,0.024201712263650407
69,12,3.35699342130728,none,0.32577326171564536,1.1902061547061302,0.02707199122066033
70,4,8.838557433966962,none,0.14777094638434482,1.0487739470700974,0.027825268161091574
71,4,6.150937614526651,none,0.13696316374154457,1.098152730670939,0.02781062145544621
72,4,5.772471939968044,none,0.1503525130389183,1.0858980100231523,0.027775799821194727
73,3,8.817196793194338,none,0.10738889998806148,1.0619403948433186,0.027704735074939955
74,3,8.386506407687444,none,0.12690689348454348,1.0577227700937686,0.02768118242267285
75,2,8.602083493900626,none,0.10185884728794076,1.068641014428038,0.026966582474961233
76,3,8.599471945445693,none,0.14648646538708798,1.1171687763258467,0.027659684285677097
77,5,7.083704041705117,none,0.13394566554758205,1.1820925313915924,0.027871668440085175
78,24,9.754879981450825,none,0.1769596463215758,1.180201427822623,0.026563762647037917
79,5,6.997256533338256,none,0.21875619452193057,1.013330727560896,0.02775420227216988
80,9,7.202309642260173,none,0.22034825968271368,1.2294859030331533,0.02755966092956351
81,5,4.640233395834866,none,0.15701896588232467,1.0199684657969765,0.027768077677588137
82,5,4.718612604195557,none,0.15909375439817586,0.9922037182059094,0.027763909228360934
83,5,6.313243235048416,none,0.19365061015733048,1.146061529486489,0.027853614301436708
84,5,4.7990599203661874,none,0.1810012309408352,1.1303601463231707,0.027769849954109912
85,8,5.980633279919282,BM25,0.18223501498725792,1.140765784202116,0.024309150385946787
86,7,7.646348528446494,none,0.12389418979463877,1.1047237284367328,0.027819657666106556
87,10,7.622434493292435,none,0.19587338121628342,1.3541860162917192,0.027548426227589375
88,7,6.236609058011088,none,0.12507065826608005,1.1058631178740999,0.027747995305009113
89,31,10.057870872116982,none,0.12266926915741298,1.1844470693166744,0.026308364002515162
90,9,7.251781755287109,none,0.17945220430474276,1.257483664270143,0.027577845332250345
91,7,5.031173863300691,none,0.16108053199245992,1.1591810745645348,0.027763356177531475
92,5,6.22405346242366,none,0.14620965320156903,0.8569789265406222,0.027814515664592837
