,topK,shrink,feature_weighting,normalize,result
0,19,13.841426333901781,BM25,False,0.022714261489744883
1,29,5.852608009706266,BM25,True,0.02211756192340988
2,11,9.28346298328414,BM25,True,0.022572073721218174
3,8,19.508151518348622,BM25,False,0.02340385531276129
4,9,16.060573759588287,none,True,0.026011576816474282
5,34,8.705356930486564,BM25,False,0.02246371803731821
6,50,7.373552545951319,none,False,0.018178946451881946
7,48,7.183991040248085,BM25,False,0.0222166288672418
8,2,15.085721936212845,BM25,False,0.022002366234829714
9,12,3.6077308942162185,BM25,True,0.02247614111297561
10,19,24.1200807855129,none,True,0.02528256212451912
11,19,24.984590671892946,none,True,0.02528256212451912
12,21,24.727279151133743,none,True,0.025140697730754218
13,2,19.67111062125328,TF-IDF,True,0.024795982519936807
14,29,19.226548312860878,none,True,0.02510927667350392
15,40,16.24823503399636,none,True,0.02494018366772301
16,16,21.91040032465785,TF-IDF,True,0.025483107039559607
17,14,11.31456959329957,TF-IDF,True,0.025615799245290848
18,6,11.163075106941324,TF-IDF,True,0.026323852853741687
19,7,11.6223687313535,TF-IDF,True,0.026121837326268438
20,6,11.762523614948167,TF-IDF,True,0.026323852853741687
21,6,11.043454159753754,TF-IDF,True,0.026323852853741687
22,5,11.48255657893329,TF-IDF,True,0.02620827551438244
23,5,1.5570833578911802,TF-IDF,True,0.02618531476362285
24,24,13.058870962908916,TF-IDF,True,0.025177505320256983
25,15,9.914794678819648,TF-IDF,True,0.025584848966845722
26,2,13.864137265026386,TF-IDF,True,0.02476471343739783
27,8,17.327039917645795,TF-IDF,True,0.0260630288262885
28,11,4.291304104982567,TF-IDF,True,0.025760076951765985
29,16,13.704238889419335,TF-IDF,False,0.019103066963942927
30,5,10.320559357217286,TF-IDF,True,0.02620484637070624
31,5,11.879273228239486,TF-IDF,True,0.02620827551438244
32,5,8.031053833347746,TF-IDF,True,0.02619783725130943
33,12,5.668888924053336,TF-IDF,True,0.025633279765103684
34,10,10.595016341287051,TF-IDF,True,0.025870402593579332
35,7,12.347761264026133,TF-IDF,True,0.026118824113381338
36,23,14.4619329220188,TF-IDF,True,0.025251398167344348
37,37,9.393785480082927,TF-IDF,False,0.018754311282602593
38,9,8.96176264821159,TF-IDF,True,0.025974081341435765
39,4,6.317752066308907,BM25,False,0.023303262908480275
40,14,16.220915846845962,TF-IDF,True,0.025610301874339082
41,6,12.22236551027606,TF-IDF,True,0.02633369692997312
42,7,12.530730749653639,TF-IDF,True,0.026118824113381338
43,11,10.955710737943642,TF-IDF,True,0.02578847794012726
44,3,14.912150871718268,BM25,True,0.022122913032985178
45,8,13.447621745919445,TF-IDF,False,0.019073017107096194
46,13,8.196163520295645,TF-IDF,True,0.025559440623365445
47,6,6.839978041641795,TF-IDF,True,0.02633221146286913
48,29,6.962757238191681,BM25,True,0.0221091530369343
49,18,5.024172773389759,none,True,0.02522612008790256
50,10,1.9656700288210498,TF-IDF,False,0.0191764227575388
51,6,9.640116267875477,TF-IDF,True,0.02632781448024133
52,2,9.953960470856355,TF-IDF,True,0.024757649469984846
53,46,8.194387117391678,TF-IDF,True,0.024917950795844194
54,6,9.280175988974982,TF-IDF,True,0.02632781448024133
55,8,7.407855712188342,none,True,0.026125435584660996
56,3,9.110889819940441,TF-IDF,True,0.025650556890190062
57,33,6.9054039526424695,TF-IDF,True,0.025127353665492548
58,9,12.654288035601388,TF-IDF,True,0.025985185779371565
59,6,9.68887665474691,BM25,True,0.022842181918071407
60,12,3.739240604221301,TF-IDF,True,0.025633982505310546
61,6,10.830011634395118,TF-IDF,True,0.02632296500148031
62,4,12.151982660041162,TF-IDF,True,0.026083769375061187
63,10,8.663829105297191,TF-IDF,True,0.025863965950351026
64,6,10.919643707807175,TF-IDF,True,0.02632296500148031
65,3,11.513432582354804,TF-IDF,True,0.025673836445043566
66,17,15.52854380268204,none,True,0.02549289855310891
67,7,17.151426414834255,TF-IDF,True,0.026126698231699462
68,4,10.243383400778804,TF-IDF,False,0.018484367629797875
69,9,14.276044443498078,TF-IDF,True,0.02597893881886579
70,13,7.7441854559649705,TF-IDF,True,0.025550848910169385
71,6,12.989506503169974,TF-IDF,True,0.02633369692997312
72,6,13.356116551396982,TF-IDF,True,0.02632508007810299
73,2,13.148995828080963,TF-IDF,True,0.02476471343739783
74,7,11.84640294439663,TF-IDF,True,0.026121837326268438
75,4,14.083606726369087,TF-IDF,True,0.026089506706083575
76,11,13.152757311612481,TF-IDF,True,0.025782621771736538
77,9,15.41371164937553,TF-IDF,True,0.025980225461911227
78,5,5.948027638598402,TF-IDF,True,0.026185465595667225
79,7,8.58354678962649,BM25,True,0.02276804454024532
80,21,12.697819232582738,none,False,0.018755508797621924
81,6,11.438075232928256,TF-IDF,True,0.026323852853741687
82,8,9.445413808931535,TF-IDF,True,0.02604497125963903
83,5,10.637038471006035,TF-IDF,True,0.02620484637070624
84,3,12.090903232774107,TF-IDF,True,0.0256726629260314
85,10,10.157216629729021,TF-IDF,True,0.025870402593579332
86,6,13.545343146935982,TF-IDF,True,0.02632508007810299
87,8,14.795463588577508,TF-IDF,True,0.026055594634766553
88,2,13.585036476384394,TF-IDF,True,0.02476471343739783
89,12,13.835384200412703,TF-IDF,True,0.02567650800049671
90,4,16.83889107941979,TF-IDF,True,0.026099652446403814
91,5,11.315511703585518,TF-IDF,True,0.02620827551438244
92,6,12.628596895298122,TF-IDF,True,0.02633369692997312
93,7,13.260873400743625,TF-IDF,True,0.026114881912220757
94,6,12.699794380263409,TF-IDF,True,0.02633369692997312
95,9,12.71935395416901,TF-IDF,True,0.025985185779371565
96,6,18.080931196765853,TF-IDF,True,0.026342871403340757
97,26,20.023317777411087,TF-IDF,True,0.025197548842157802
98,4,18.65643726200236,TF-IDF,True,0.02610465961321126
99,10,22.91624816934696,BM25,False,0.0232006674089427
100,6,20.525327793654636,none,True,0.026134355243287007
101,8,18.437236402142208,TF-IDF,True,0.026071914204904338
102,3,12.098034904107127,TF-IDF,True,0.0256726629260314
103,6,14.794575379142453,TF-IDF,True,0.02632706260535331
104,7,15.683651279104321,TF-IDF,True,0.026126913053096043
105,42,14.841720600693623,TF-IDF,True,0.02496101220185492
106,5,14.289321550996197,TF-IDF,True,0.026223723229596905
107,6,16.51812700175334,TF-IDF,True,0.02633250170028791
108,9,16.794040934024707,TF-IDF,True,0.02598353234021811
109,11,16.078654568435386,TF-IDF,True,0.025762165747047594
110,31,17.525034112435595,TF-IDF,True,0.025172039943981442
111,6,18.12634798540231,TF-IDF,True,0.026342871403340757
112,4,17.948387512578496,TF-IDF,True,0.026104783021247583
113,7,16.546229135474714,TF-IDF,True,0.026128464794886216
114,2,18.56545165785451,TF-IDF,True,0.02479713547094291
115,6,19.17537466952562,TF-IDF,True,0.0263499559387598
116,8,19.34291346887898,TF-IDF,True,0.026072984883886204
117,3,18.04115180052028,TF-IDF,True,0.0257104314984838
118,5,19.926698405806377,BM25,False,0.023516579412613953
119,8,21.21231293925459,TF-IDF,True,0.026069411764167612
120,4,18.80366522195852,TF-IDF,True,0.02610465961321126
121,6,17.778129538447438,TF-IDF,True,0.026333549525929725
122,6,4.992034591477922,TF-IDF,True,0.026329542192749973
123,5,4.931660772508586,TF-IDF,True,0.02619353853804391
124,10,17.727588153240198,TF-IDF,True,0.025880122119107365
125,7,5.511062118335185,TF-IDF,True,0.026100114083873117
126,9,17.06202461066886,none,True,0.02597962213373347
127,5,6.580008452427559,TF-IDF,True,0.02619003397834549
128,3,3.895899409853313,TF-IDF,True,0.025649689605934733
129,7,2.9778332964653504,TF-IDF,True,0.026095603977211994
130,6,20.63011369417465,TF-IDF,True,0.02634343131017228
131,6,20.818160784870027,TF-IDF,True,0.02634343131017228
132,8,23.070855796577224,TF-IDF,True,0.02607141714475799
133,6,20.229364592918287,TF-IDF,True,0.02634343131017228
134,4,21.291154190183182,TF-IDF,True,0.02611852359195951
135,6,20.482717006422337,TF-IDF,True,0.02634343131017228
136,8,20.705967468589236,TF-IDF,True,0.02607153483945931
137,6,20.327101672703268,TF-IDF,True,0.02634343131017228
138,5,21.860097325401224,TF-IDF,True,0.026249901730637196
139,7,20.405752352567294,TF-IDF,True,0.02614317891788469
140,9,19.348688559306044,TF-IDF,False,0.019137469239404254
141,5,19.92519991101865,TF-IDF,True,0.026247247315189064
