,topK,alpha,beta,result
0,9.0,0.22946274021782684,0.33512048110906417,0.027526442457117252
1,5.0,0.25413451124563885,0.22340562916485285,0.025936235067627066
2,18.0,0.4037917599328689,0.1056376715757236,0.028086913766120054
3,16.0,0.24781578245556182,0.1928619250270207,0.028217276073831968
4,12.0,0.35092444543215473,0.34481942942436056,0.027867753662932582
5,6.0,0.2307492229345037,0.4464004697713869,0.02604057427701112
6,9.0,0.4072817655830418,0.2755175302401042,0.02766200161435927
7,11.0,0.375580915312225,0.3383658849915743,0.027855379721956335
8,15.0,0.364513728184218,0.22996322237355837,0.02830277727500357
9,6.0,0.3106337067712559,0.20557928090633873,0.026640493878960624
10,15.0,0.49726170793057684,0.4777571994445509,0.026840454891162453
11,20.0,0.29800865208205535,0.15121679656831857,0.02814693577845703
12,16.0,0.45117498022158997,0.22933397816288414,0.028294016447091026
13,14.0,0.47643726067947306,0.2621595278130173,0.0281012965156877
14,2.0,0.4450037289570168,0.4056440699915863,0.01905052827780882
15,18.0,0.43871634758030786,0.1629954531679668,0.02822981113085567
16,13.0,0.312786277265207,0.25439510265077975,0.028281062031277282
17,18.0,0.37997182221284115,0.3083804809465111,0.028074510115801643
18,16.0,0.4660306484583547,0.12016908602954587,0.028142625638521542
19,20.0,0.4163809167551268,0.2298820189444332,0.028277789432980444
20,10.0,0.3417369929710221,0.3929997185933968,0.02744528339055729
21,13.0,0.2929596738484745,0.25926107040137714,0.028335691798026946
22,14.0,0.27956773350335146,0.17133338769850176,0.02827938231078273
23,16.0,0.3356782932962782,0.2830671281468363,0.0282719732579348
24,12.0,0.20378358621930243,0.24027239282923943,0.02818065359638377
25,17.0,0.27347920714896323,0.3097587093438644,0.028103375026966193
26,14.0,0.3790039286065986,0.19727365026642835,0.02829347368026453
27,13.0,0.3261078875101811,0.13223816858560394,0.028146138196888885
28,15.0,0.3553778092428632,0.3718738587108577,0.02772212532405964
29,10.0,0.2799593778161238,0.2918746884551298,0.02791236224006535
30,8.0,0.4382876234204246,0.2155946288807915,0.027350627141357393
31,13.0,0.3729700994669106,0.18902439445773375,0.02813963299364052
32,14.0,0.37896184371018043,0.24140178645016502,0.028254256206052354
33,17.0,0.4221659575585117,0.18400883761165546,0.028345610147613557
34,19.0,0.41394202350443526,0.22307940041364377,0.0284084899701253
35,19.0,0.418793963343109,0.1799144585949018,0.028342425534675978
36,19.0,0.423498088086531,0.1386296481249759,0.02822617059378393
37,19.0,0.3937288874922667,0.10266379336076671,0.028153090182935728
38,18.0,0.39976241091540593,0.17991068415660302,0.028357878963225384
39,18.0,0.39405914216559046,0.18085147708592747,0.02835378478735341
40,17.0,0.39537063709537373,0.16124680726044419,0.028295274523461363
41,19.0,0.4226034349554664,0.17846332593265463,0.028321878096626774
42,17.0,0.40509939419950464,0.20743031645716362,0.028343381946957524
43,17.0,0.4028339661797118,0.20470899819272892,0.02834668996793145
44,20.0,0.39375733256756074,0.1422696405094043,0.02823699165030291
45,18.0,0.3616794004676727,0.12161058793657968,0.028175881818978853
46,17.0,0.46223380330168495,0.2000805586882424,0.02831034972923293
47,18.0,0.43125642699571964,0.1566592582587281,0.02825660210140957
48,20.0,0.4080265080740041,0.21783064865808482,0.028352331314925545
49,20.0,0.400726035544053,0.2186785083406273,0.028360019178522173
50,20.0,0.45474674865206666,0.2234586651526478,0.02826675126973078
51,19.0,0.3986249976182328,0.2143151306558283,0.028396110315814
52,20.0,0.39075145246806425,0.26625378673498673,0.02814625589159034
53,19.0,0.4094294327369192,0.2165037873102017,0.028425786520550708
54,19.0,0.36807647525250237,0.250057233467144,0.028284479748283402
55,18.0,0.48639049816763946,0.23606400911906958,0.02824512972469878
56,19.0,0.38584586727668374,0.16869395507128504,0.02831768336605853
57,18.0,0.40934944119164085,0.49611283337888357,0.026736899551342556
58,16.0,0.43398251394108917,0.32856872893574635,0.02800408983373673
59,20.0,0.3616795957784302,0.2687902790968705,0.02813806525451234
60,18.0,0.45140322592665394,0.20988781263530437,0.028330168145734066
61,19.0,0.4079184007419528,0.22129823546511262,0.028407091345713543
62,19.0,0.40024728702031,0.18942326312310584,0.028365818213562655
63,3.0,0.4100759529039404,0.22517886776589255,0.0229173751202084
64,19.0,0.34577126953311876,0.24609841356010137,0.02825727056160644
65,20.0,0.44097541317149774,0.19535277487162225,0.028236467166148495
66,19.0,0.43063046408015676,0.22110940700688286,0.02838096655002237
67,19.0,0.42679808221083515,0.2845877197739052,0.028113251097873767
68,7.0,0.4127229482158377,0.2330728763906934,0.027031437968721393
69,16.0,0.4447049908716082,0.2173909921104273,0.028295013995384727
70,19.0,0.3861326758501008,0.2557925860839237,0.028229315213376287
71,20.0,0.3996108072352484,0.19756132624214257,0.028335519255309416
72,18.0,0.4319267823451375,0.1891747882444379,0.028317413696645855
73,19.0,0.4176290154380183,0.21520987912346945,0.028440063002086992
74,19.0,0.4163331829588304,0.2295400663880122,0.028352587272334206
75,20.0,0.4689307683200441,0.4429398903515621,0.027200236166415568
76,15.0,0.38376800682922935,0.2750126777738315,0.02825192402269908
77,17.0,0.418059895154117,0.24321461365095276,0.02829894591254222
78,19.0,0.3705776523807381,0.21218786082149174,0.02837409569333289
79,19.0,0.33244783280048956,0.15082551750705991,0.02814428250567602
80,17.0,0.3710712347471227,0.20967439008544614,0.028419822941461764
81,19.0,0.3706621708688347,0.20872931816976611,0.028351136085240276
82,18.0,0.3551999507787899,0.17225502665975925,0.028255440009067392
83,17.0,0.3803286817981178,0.1939061858017504,0.02836797214086352
84,17.0,0.37641940961764464,0.21026425748292288,0.02842347376253657
85,16.0,0.3752012732526564,0.21016766570453577,0.02836719741263544
86,18.0,0.35090037890476466,0.23783919369355605,0.02822458114398254
87,17.0,0.36643906299478,0.26146439604118527,0.028298172326981175
88,16.0,0.4275279508865795,0.22932401740119862,0.028293495390937642
89,11.0,0.3891293341318244,0.3006708125206783,0.027950553599308925
90,20.0,0.3577932288338793,0.25029170051543753,0.02824350828022136
91,17.0,0.3803444291027954,0.20042898890216854,0.028396578809285266
92,17.0,0.37705563739429565,0.20275123469848416,0.02840202018955388
93,15.0,0.4054891929244374,0.20222091557199778,0.028252837013634343
94,15.0,0.37851791671261176,0.16966981606987075,0.02833173359952822
95,17.0,0.41604893680795935,0.22470140026929836,0.02838932173114896
96,17.0,0.4136615420426916,0.2008209579863172,0.028370836807040254
97,18.0,0.39512937055626646,0.18745103513027975,0.02836818124892508
98,16.0,0.38818874816163074,0.1759527013898656,0.028239425531019394
99,14.0,0.3413359400261411,0.21985384122143928,0.028326969820792476
100,17.0,0.40491705985949145,0.24144222434120338,0.028351921097471505
101,18.0,0.4211193984067753,0.22328716981232163,0.02836650495643153
102,17.0,0.4287227188164409,0.20711967355564662,0.028373712899886938
103,18.0,0.23378794163086863,0.22846532643247655,0.028175000822719426
104,17.0,0.4376405337251729,0.22034580470772036,0.02838775627735474
105,16.0,0.43811011045781595,0.18345955162439254,0.028299881756817725
106,16.0,0.3963263664973639,0.21415825338948447,0.028339660280528527
107,17.0,0.40935544631361026,0.19546738702215172,0.028373152993055397
108,18.0,0.45498928491909024,0.2349247081666829,0.028293830192369494
109,5.0,0.38204385351316617,0.2561821470100595,0.02592374000394859
110,18.0,0.3748733836841236,0.204207123621658,0.028291451159669138
111,19.0,0.4244059665917168,0.22170300363811205,0.028375927388538853
112,19.0,0.43575778379481933,0.21675309136821932,0.028354609792929572
113,17.0,0.4446974133128309,0.23688299158296502,0.02833216438498846
114,15.0,0.4110418188224314,0.1621857031393481,0.028250518542285184
115,20.0,0.418699134990483,0.22364507328832936,0.028293949029737815
116,18.0,0.3640855722725636,0.24664222544964148,0.02827134250574911
117,19.0,0.39276801804701666,0.21326589233891832,0.028372332558147185
118,17.0,0.40144287712917803,0.19054779316057027,0.02838083628598401
119,19.0,0.41546646159492523,0.19873535227954559,0.02834335452294939
120,20.0,0.3846801771962325,0.23067394539463593,0.02829335027222816
121,17.0,0.40523425290728354,0.18943628974009746,0.02839465684338614
122,16.0,0.4329151867304441,0.2040490508863377,0.02830824836461414
123,17.0,0.4216578832403325,0.17933700534924082,0.028291100360899213
124,18.0,0.40492004863876885,0.3521576188744264,0.027951628848958937
