topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
10,0.28747516363225445,0.14854470955418192,False,True,38,0.10450804022074961,0.023594033952749845
66,0.3681002972535327,0.42413555504780165,True,True,39,0.11529316774787779,0.026580166774533752
31,0.20909446653155656,0.24422323046553823,False,True,40,0.09888598982489671,0.022683491752686292
27,0.38719433699290384,0.20850998146009073,True,True,41,0.1198302799888067,0.027936250836431444
49,0.37648457250358736,0.19156342184848366,True,True,42,0.11888907392301412,0.027361258515153832
27,0.495097739615166,0.30317073550132234,True,True,43,0.11997561438271222,0.02769304444883152
10,0.503006947819096,0.2966751390472722,True,True,44,0.11820102158967438,0.02769139558034599
27,0.4803600047933521,0.1325816794253883,True,True,45,0.12003780741749952,0.02787323389387926
29,0.43817016968198774,0.1167079305354502,True,True,46,0.11965927523130293,0.027693858027737696
58,0.43029802734908607,0.14419531760552312,False,True,47,0.10341940094571525,0.023545311774406108
30,0.4763850278288215,0.1252977476063826,True,True,48,0.11956085723804277,0.02769372662103232
30,0.3956798061138716,0.10820189535457089,True,True,49,0.11928644275461031,0.02762890654994927
65,0.5135581554363321,0.18649248474452304,True,False,50,0.11730171793850772,0.026931293489905476
30,0.46470152746300447,0.12520851229991586,True,True,51,0.11946535549261308,0.027690241486673005
10,0.4638135979828673,0.10865526658791183,True,True,52,0.11826093650278269,0.027686485540233955
44,0.40308902244791067,0.15822249334020821,True,True,53,0.11917868223262716,0.027445036574484764
28,0.5876945435835584,0.19499097289066475,True,True,54,0.11944016129576429,0.027781085798750816
56,0.5220012766535345,0.12941439547458755,True,True,55,0.11779560384612421,0.02696276025383593
9,0.3464663826876776,0.10052911650571053,True,True,56,0.11798133927375667,0.027729329839513903
27,0.4845570035265184,0.16470742894323395,False,True,57,0.10939808997993569,0.02503872955540161
14,0.44210192076108673,0.3414922655334517,True,False,58,0.11947045304198448,0.02790891367105014
4,0.5670515655710499,0.3037071178197476,True,True,59,0.10245596857825812,0.02447632142582859
52,0.40796366262419265,0.6151130572369324,True,True,60,0.10763806359053596,0.02423906033464556
16,0.4524980465843263,0.3600817177347906,True,False,61,0.11953405870346054,0.027775043375638835
35,0.4430125102647182,0.19499446998359876,True,False,62,0.11950694450616917,0.027805870246047422
43,0.524250865928913,0.2633035135777988,True,False,63,0.11890338209317394,0.027428992387094654
24,0.4891655604418898,0.6601863171107879,True,False,64,0.10608132045246013,0.023862347019741218
157,0.41797777894977084,0.3981031420566364,True,False,65,0.11288515733284135,0.02577213437398236
