,topK,alpha,beta,result
0,1125.0,0.7088111207547052,0.5363384577943475,0.04553731845449867
1,1126.0,0.6337615633773381,0.06104601006009594,0.036540273114754225
2,1170.0,0.555198037042169,0.2639437936969196,0.04229572951973812
3,1152.0,0.7989242681919113,0.6931337751043796,0.041289170499713986
4,1186.0,0.752750920113374,0.34624394390161445,0.04448925853935243
5,1165.0,0.33870862406189295,0.4831529781041615,0.04497812172584276
6,1117.0,0.6762523672623062,0.29931574255732224,0.04362132848378858
7,1191.0,0.45326491579270134,0.6942853971999723,0.04062099515581057
8,1125.0,0.8527267095211151,0.4259848687149512,0.04534576530675812
9,1140.0,0.7153546589109315,0.7582678289351298,0.038437798411090705
10,1141.0,0.29024688011256405,0.9771032731921654,0.024917514711945216
11,1106.0,0.894805506630117,0.5026107263339397,0.04525331029934178
12,1125.0,0.8945678493229413,0.5354355623877286,0.044917019405308914
13,1104.0,0.14575922153893534,0.07555206702408018,0.03489837958872451
14,1133.0,0.5491896036509253,0.4317480364458331,0.045596442895159045
15,1139.0,0.5076931277150648,0.6073561928707729,0.04420630235301738
16,1150.0,0.5957613208672884,0.8792421175386933,0.03172756149387975
17,1113.0,0.4232266609818846,0.2366361892348915,0.041250601284404304
18,1133.0,0.3378544699318043,0.1625222793826257,0.03850555613564295
19,1155.0,0.5785245784439791,0.42758842428227656,0.04550699877199454
20,1116.0,0.10392293946273151,0.6486697393024135,0.03780386392721803
21,1154.0,0.5716372288651004,0.39795866689099796,0.04520173259153164
22,1168.0,0.6574300537116449,0.5668638881809258,0.04526000474780256
23,1157.0,0.5184725360478804,0.41571622989344176,0.045298774763098695
24,1178.0,0.7755333136918299,0.46893676531792816,0.04573432109077925
25,1198.0,0.7605807032513775,0.7888675967720231,0.03676715702023414
26,1178.0,0.8089502598102126,0.19524486133473568,0.04089473685384634
27,1132.0,0.7115728263028043,0.34968120167531236,0.044568363694289494
28,1178.0,0.44332286840113566,0.5763885645988575,0.044629874308130604
29,1145.0,0.6298029898198672,0.4805788359627808,0.045912478648266135
30,1145.0,0.6329618650281013,0.4982710954417669,0.045905407142052046
31,1148.0,0.6271262724603985,0.4836387735506104,0.04591316248377797
32,1145.0,0.625303351152048,0.4967757352361156,0.04586009216273
33,1146.0,0.6143795088183449,0.6175181513819393,0.0441077608748794
34,1163.0,0.6504290139603012,0.525369708361659,0.04574299230355774
35,1147.0,0.6828617778919662,0.3090815385375074,0.04373736187191802
36,1146.0,0.6281192037516157,0.6704037108025184,0.042466225442160214
37,1160.0,0.7251063278286995,0.37905050595976075,0.04504248369950148
38,1142.0,0.48081725308666934,0.48914093082667315,0.04566192153985727
39,1136.0,0.5315218309424516,0.5651813571227089,0.045199421160568805
40,1129.0,0.3978750366393355,0.7436183523215444,0.037659280127582705
41,1163.0,0.6484077699532266,0.5227490988614921,0.04576937407520262
42,1150.0,0.677293309569855,0.46524081165307607,0.045799964837689194
43,1150.0,0.6782108432744511,0.45838740184675725,0.04578250527880668
44,1144.0,0.6059855447048446,0.34972020552624017,0.044462773021047244
45,1157.0,0.7384999394849395,0.2683737248667437,0.0428242183525816
46,1138.0,0.8176570310286905,0.6081441409173014,0.043911218963013726
47,1150.0,0.6930405252479452,0.4669449327212313,0.045844969692586654
48,1122.0,0.5473760206282008,0.3795730823378528,0.04487073389271564
49,1137.0,0.47966864130590037,0.499084875643233,0.04568604988942414
50,1172.0,0.6982143253759936,0.30305503409901113,0.043552951625942415
51,1151.0,0.6274095051748443,0.4569007673459927,0.045866548997872354
52,1151.0,0.5854549620586599,0.5518384457710462,0.04541571398228152
53,1142.0,0.64013744094643,0.4446081968969531,0.04575770982706029
54,1148.0,0.6138560160260315,0.5048900273310207,0.04585776176732354
55,1156.0,0.6075321757564012,0.5211216908529326,0.04577536795481903
56,1160.0,0.5565103246523978,0.6343312731923334,0.04356003205660089
57,1129.0,0.5824506960273144,0.585066928752126,0.04488768698940872
58,1146.0,0.24679716605913843,0.7120526431476474,0.03721350750277876
59,1135.0,0.6248504478605663,0.4034834308844948,0.04535436066176339
60,1153.0,0.7789356605734231,0.4954651121844258,0.045661886957637336
61,1149.0,0.6587296264527954,0.4385601830229356,0.045703390083870025
62,1140.0,0.7001619506276828,0.4684962967357602,0.045826989169292995
63,1143.0,0.7461207816164067,0.5456126545870246,0.04539122530829309
64,1154.0,0.5592542280198189,0.0024029266930603588,0.034342233904317815
65,1145.0,0.4986946990992136,0.4166808345193559,0.045309961553493934
66,1159.0,0.6229206734993464,0.3575844130863761,0.04459889421677998
67,1166.0,0.5334415320347933,0.5876424619795456,0.04476070777086864
68,1152.0,0.5961358337949954,0.5082202113454087,0.0458139472101277
69,1147.0,0.714082094030055,0.32306842856782464,0.044025942689004414
70,1140.0,0.6613216130882865,0.3785820223748861,0.045004193373063175
71,1140.0,0.6886771195294084,0.4745813724966083,0.04583757802194862
72,1148.0,0.6903725171430479,0.4770784605255417,0.04581710200103692
73,1142.0,0.847493204738589,0.43627246636760697,0.045382248433312046
74,1134.0,0.6407895688986867,0.53442860523339,0.045681337783059155
75,1138.0,0.7267603918384505,0.48539815519672447,0.0458281683114397
76,1152.0,0.6690417961663632,0.39602595378231176,0.04523895644692717
77,1131.0,0.5730852980275526,0.5475750915416329,0.045530786877138955
78,1144.0,0.6142234502992252,0.4433907125501282,0.04575715428042915
79,1156.0,0.7658636321090655,0.6522093455782112,0.04298370039570847
80,1149.0,0.6306562997358363,0.5100903212193676,0.045831695697880565
81,1149.0,0.6340166297259562,0.5093049267653056,0.04585518371859958
82,1148.0,0.6722954294223882,0.46754204154179935,0.04580234320198154
83,1144.0,0.5964509206258141,0.5671615154726746,0.045262966547612984
84,1154.0,0.647605851356136,0.9839855991227359,0.027449782154324476
85,1140.0,0.691532245661342,0.5255689790143877,0.0456762921256044
86,1159.0,0.7377964962016135,0.5930587931927448,0.04456180980582023
87,1163.0,0.7111326059480304,0.4155916338121457,0.04542471428392749
88,1100.0,0.5370657739573594,0.45134549974456534,0.045830556715731455
89,1136.0,0.569820027188451,0.4897457885528983,0.04589486960494868
90,1136.0,0.5648262785775786,0.5582648226688394,0.04533228716539879
91,1146.0,0.5886532246279377,0.48972363171396716,0.04588757721874868
92,1151.0,0.5993371487833472,0.49849385333760965,0.045836943270878165
93,1146.0,0.5148854551510909,0.5107476296903983,0.045691786075723835
94,1122.0,0.5828236996450962,0.9322767499917777,0.029176756866020236
95,1143.0,0.620722174572316,0.4233915782909402,0.04556458263053161
96,1148.0,0.644063270107282,0.6281109562662224,0.0438507904379922
97,1150.0,0.49479815156296825,0.5391408134547977,0.04538577470419753
98,1154.0,0.5481918864552434,0.3914782829119887,0.04507849383053004
99,1158.0,0.6316502766648884,0.45886524568728354,0.04583025440019524
100,1129.0,0.5757208311364783,0.489064405061127,0.04590764829301982
101,1123.0,0.6096591641726689,0.4927291131542564,0.04593072132709862
102,1122.0,0.6104888345198661,0.4884961338158456,0.04594794215710763
103,1120.0,0.5719099433158275,0.4867291001570594,0.045938829184357606
104,1114.0,0.5775789733958503,0.49174191578313636,0.04593350575358713
105,1113.0,0.5230797069281509,0.47802873270345386,0.04584560555921289
106,1114.0,0.5734331759686748,0.3648990775995705,0.04471164006289768
107,1122.0,0.5939224863149405,0.43083715658546373,0.045623953608954014
108,1119.0,0.47517957386875576,0.5269014464926893,0.04551575365143436
109,1108.0,0.5449837590757032,0.48814163200312255,0.04585924880278394
110,1127.0,0.5637216672747497,0.3258263328039535,0.04391490252722206
111,1119.0,0.609483480273864,0.48665382143673475,0.04596571964930321
112,1119.0,0.6022752321953837,0.4542882893922765,0.045799783002145336
113,1125.0,0.5853267455577045,0.5727162070099483,0.04515119123476667
114,1116.0,0.6593678589444489,0.48661880379915284,0.045876285566138104
115,1109.0,0.6131306687102573,0.48303476735126044,0.045960203227434035
116,1110.0,0.6073918889173394,0.5473203225111226,0.04560236314811366
117,1120.0,0.563214349742401,0.5312256133945771,0.04565324698041236
118,1110.0,0.5824346783905324,0.40633008294732176,0.04538489899314216
119,1129.0,0.5335081800434713,0.6037802556970717,0.04439991593173728
120,1117.0,0.611064234577031,0.4467687355605769,0.045749419018701915
121,1121.0,0.6526400276829972,0.49171679007767566,0.045936465322286624
122,1124.0,0.6497111197556827,0.4941681622135712,0.04590670341752471
123,1127.0,0.6518628656266501,0.5162420179486517,0.045770279906255734
124,1123.0,0.6748424558126587,0.4712533325343219,0.04588791076983853
125,1124.0,0.6183624990088519,0.42811418542412494,0.045625235382205316
126,1114.0,0.6611730721190896,0.5573769285482961,0.045413791880182394
127,1118.0,0.5673763543571501,0.5119073023835324,0.0458172972232466
128,1131.0,0.6396850845809541,0.49530236574554104,0.04591674453243756
129,1105.0,0.6361363340202237,0.5344169784730212,0.045725570673561616
130,1131.0,0.6503241883665428,0.4520901616049772,0.04581118509474892
131,1121.0,0.6065958894966236,0.48957842800602214,0.04597097949341099
132,1121.0,0.6149106735362369,0.47571629034322505,0.04596266972060954
133,1121.0,0.6147160198465851,0.4860075702354564,0.045949519552562226
134,1120.0,0.6177038133553233,0.4664798817352707,0.04594195831749071
135,1121.0,0.6067882843743904,0.4603167321561417,0.04590620253311232
136,1112.0,0.6197619953119753,0.4321941150316173,0.04570552748817776
137,1116.0,0.5964634489018169,0.41144874115260477,0.04543863195414766
138,1120.0,0.67784000253776,0.4709819764131958,0.04589655632484075
139,1126.0,0.6344024079640253,0.5301136478474158,0.04569647475542371
140,1111.0,0.617354015661359,0.5073733941761945,0.04587828687267668
141,1116.0,0.584991204982031,0.47800805350172504,0.045920042114448806
142,1115.0,0.6005694500537079,0.44446743918511344,0.04577165650172318
143,1118.0,0.6364584453012472,0.466077779501881,0.04591217633273004
144,1107.0,0.5876811832640242,0.4808671746671212,0.04594494689063271
145,1121.0,0.21094169585530703,0.5210112187544755,0.043674829409253706
146,1103.0,0.5832518784643428,0.8095260631825698,0.03539047007723115
147,1109.0,0.5926556105037263,0.4762149060953517,0.04595114937912475
148,1108.0,0.5472550159896693,0.4757278603670135,0.045906300701995
149,1109.0,0.5911876797444284,0.39191320403875357,0.045172835242269935
150,1107.0,0.5558130506639821,0.505463559993301,0.045845033279249194
151,1112.0,0.6082054466599395,0.48211382068416325,0.04594411691735248
152,1113.0,0.6122459056443091,0.4411993399156789,0.045753148320685534
153,1103.0,0.6021755980073836,0.13414205687936764,0.038816632129067476
154,1117.0,0.6224411543163461,0.48501833927317783,0.04596781466250245
155,1117.0,0.578402221583822,0.4225752960088475,0.04556161413738807
156,1115.0,0.6233364134719076,0.5460143910792666,0.04561266084078794
157,1111.0,0.5838037564982321,0.47481651556244087,0.04596287163615222
158,1106.0,0.5209139918285784,0.4556169916291456,0.04580040325099467
159,1112.0,0.5558932197492737,0.5044373845780795,0.045844380679290975
160,1120.0,0.6063154056403848,0.477242564858478,0.04597349283991686
161,1120.0,0.6049057124101693,0.47712115268907074,0.04596576538707809
162,1119.0,0.5999118763605584,0.4630194641152208,0.04592162062545899
163,1111.0,0.6238675313856139,0.5159206058472666,0.04579481878024075
164,1121.0,0.5909927980119445,0.4363518967373353,0.045698304266417716
165,1114.0,0.5755262627287868,0.4811448271680112,0.04596603200483887
166,1118.0,0.5687724797858331,0.47593184445061376,0.04595248916126115
167,1118.0,0.5608212346358967,0.47292815286978407,0.04599016704773873
168,1101.0,0.5499901375828591,0.41299988401660587,0.04539256955265122
169,1118.0,0.5337583819178142,0.45346090082265783,0.04578971734501187
170,1109.0,0.5635086957355819,0.46457538351765754,0.04597561797311425
171,1107.0,0.5635931369136007,0.4705970748640975,0.04601070553975756
172,1109.0,0.5653616386831734,0.4758025395438382,0.045970906982304695
173,1105.0,0.5588403375134882,0.4333234189575144,0.045625253231093024
174,1109.0,0.4959703862958276,0.47034140677238834,0.045752631818496384
175,1108.0,0.5678261460335051,0.5208015096861338,0.04575755030262592
176,1107.0,0.5422703460135951,0.4412959777869786,0.045732839633096524
177,1110.0,0.5095417681527694,0.4555663857685863,0.045751961369650596
178,1103.0,0.5873459278084443,0.5056164154070983,0.04588581910330568
179,1114.0,0.5702460120278443,0.47608479289145433,0.04596571072485945
180,1114.0,0.5308655562225397,0.5402204885595362,0.04552682553961468
181,1116.0,0.5692471425333905,0.47916916674561955,0.04594922393035904
182,1117.0,0.5685146120696668,0.47429149307860724,0.045970352551229
183,1116.0,0.5644459939162434,0.46419987368733745,0.04595882997863316
184,1117.0,0.5566005604648302,0.4187533182128091,0.04543972854518866
185,1112.0,0.542825484669504,0.4512121284653433,0.045844495581506044
186,1114.0,0.5706570425383579,0.46598074914034726,0.04595304470789224
187,1114.0,0.5692956171404364,0.4614083943454185,0.04594143400641322
188,1115.0,0.5138150732145155,0.4365710596986655,0.045603850183574046
189,1110.0,0.5520035532774652,0.5088066281346045,0.04580694486835353
190,1117.0,0.5722535863888766,0.47098348700176335,0.04597263497774959
191,1118.0,0.5796146399599305,0.4592583226984303,0.04588473143670862
192,1113.0,0.5325869764633663,0.47676428090599055,0.04581864592982712
193,1116.0,0.565842730421525,0.40626751995987415,0.04533826877390424
194,1111.0,0.5924127487068133,0.5020486537158599,0.045895388338248896
195,1118.0,0.5806187749295713,0.4368127666897998,0.045697331502035525
196,1114.0,0.5545207287386179,0.47147784156060996,0.04597057900899235
197,1115.0,0.3699085454416211,0.5239784978072445,0.04508605729671263
198,1119.0,0.5590200592201436,0.4530423281801696,0.045862984798100595
199,1124.0,0.5498683173760806,0.4973683532889313,0.04585572699412048
200,1113.0,0.5211477898709365,0.42311568794133636,0.04543366884779884
201,1109.0,0.6002951197729386,0.4748228952190045,0.045969616284609494
202,1117.0,0.5729659202596911,0.4710019519561158,0.04596109009404405
203,1112.0,0.6002453101862433,0.46016900215443196,0.04590121153787625
204,1116.0,0.5746067333674474,0.4974938370215562,0.04590350735106253
205,1106.0,0.5417606164117653,0.46886556329013285,0.04590477239098186
206,1114.0,0.5930425511002082,0.4457562675225789,0.045781474505539266
207,1110.0,0.5792736745291523,0.5160956553677122,0.04580420060186255
208,1117.0,0.6032945333530516,0.4858640579744541,0.04594642277053819
209,1112.0,0.5584337505792754,0.4701986525931629,0.04600706101999084
210,1111.0,0.5531029075258377,0.49802973229412806,0.04588365046344448
211,1114.0,0.5665480396547609,0.4716349808114161,0.04597211066667211
212,1108.0,0.5375843769018381,0.4393297964663367,0.045678243232146254
213,1185.0,0.5852137232874164,0.47555870515543486,0.04582283037844817
214,1119.0,0.5668210736907238,0.4542913744037702,0.04587134030867687
215,1116.0,0.6003208193756584,0.49206962387327036,0.045940049602057186
216,1112.0,0.6266945001449836,0.5179888910191535,0.04578439726090775
217,1114.0,0.5568039210851686,0.4708446170913318,0.04597590355531823
218,1123.0,0.5246475029091708,0.4798928173981128,0.045831921040088645
219,1109.0,0.6133776948293336,0.42861302420184155,0.04564171102115088
220,1104.0,0.5489073244507647,0.531011079423228,0.04566684113954245
221,1114.0,0.561635182212585,0.4662485171724254,0.04597297299106124
222,1114.0,0.5793169465560584,0.4754189224862742,0.04596548984487352
223,1113.0,0.579322242242515,0.4544906083146757,0.045859479722769145
224,1114.0,0.553834304392228,0.4917298148101692,0.045881726130234314
225,1117.0,0.5351481696807768,0.4687951105017022,0.04588866488534599
226,1119.0,0.5898139533113975,0.5081154138367063,0.0458615568870807
227,1112.0,0.5624769805976512,0.4498206919647192,0.04583365126664455
228,1115.0,0.5785790858411618,0.4768476271512932,0.04595810375201296
229,1121.0,0.5439362067205307,0.4292949409748247,0.045551854142457146
230,1111.0,0.5972789817927942,0.49759660521890225,0.045928528145016786
231,1109.0,0.6040025121958281,0.47769112270310077,0.04594859029484396
232,1106.0,0.5696965038315545,0.4673400815068016,0.04597920783066226
233,1107.0,0.5621316393803992,0.4473503259919102,0.045799383633282
234,1117.0,0.5794565989254041,0.46369589323866056,0.04591934266116034
235,1114.0,0.5592265255598007,0.5003973868857844,0.045880104112560306
236,1119.0,0.5833135169717536,0.4742259363611251,0.04593098571374849
237,1111.0,0.5655743461876179,0.44080719174994776,0.045722929038175146
238,1106.0,0.5416145101225742,0.4901962215654522,0.045865710100148234
239,1114.0,0.5922404136215403,0.46343733676769644,0.04592563327853556
240,1120.0,0.5226335880179775,0.5121886900110164,0.04571626694082366
241,1109.0,0.6254857300937017,0.48013284007783213,0.04596212086731137
242,1116.0,0.6309810928866677,0.48162657273357556,0.045971359897831104
243,1105.0,0.6318711225011152,0.4890486663797471,0.04594174859305966
244,1110.0,0.6284691121021844,0.451101199778773,0.04585837420728438
245,1113.0,0.6141511104631039,0.48265275294591714,0.04595455070779585
246,1108.0,0.6409936312454322,0.5103179727197972,0.04584040037732368
247,1115.0,0.6036929719606589,0.4612886637754726,0.045898825364695674
248,1112.0,0.5885514142252256,0.4824858685314877,0.04595211433461846
249,1116.0,0.6196225256355946,0.4402758704193893,0.04574512301453246
250,1198.0,0.5716709465778768,0.4999595625081433,0.04577773516355637
251,1122.0,0.5499168473794586,0.46472521537694733,0.04595252709014758
252,1101.0,0.6046814373208826,0.41773379129856464,0.045519726144513405
253,1118.0,0.5917593801073816,0.5309465375646276,0.045757505680406554
254,1110.0,0.6272406724204915,0.4831331149780094,0.04600025166931531
255,1112.0,0.5565488372550429,0.5065223942703981,0.04583302432446218
256,1115.0,0.5750201967322233,0.4465940283062229,0.04578121011888948
257,1111.0,0.6164441407726262,0.46450790499063005,0.04592949086939978
258,1107.0,0.6425198665692211,0.49405299711797146,0.04594285745521079
259,1120.0,0.5925100011977027,0.5186323705376713,0.045833675808865035
260,1113.0,0.5387815361117705,0.4291463106506485,0.04559269685984327
261,1117.0,0.13048299045671818,0.4736470082801604,0.04298238404023676
262,1115.0,0.5761750583201327,0.45222034488040125,0.045841802630567204
263,1110.0,0.5573985337318644,0.4902300032645971,0.04587584826838825
264,1118.0,0.6028870066750812,0.4023182283975024,0.045340231036000954
265,1123.0,0.5070014959478757,0.4635167740197773,0.04575263628071842
266,1105.0,0.5702146301909514,0.5034777839424772,0.04589439437831232
267,1113.0,0.6576059135152497,0.5302668175648186,0.045728901722237356
268,1116.0,0.5861536045799763,0.4797464330707955,0.045926942940673836
269,1120.0,0.6063110384531812,0.4474430843203905,0.04575582900051389
