topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
18,0.3368408429741476,0.1850406590320168,True,True,70,0.04267598201577982,0.04267598201577982
13,0.36703564641104997,0.2507569537352609,True,True,71,0.04276809861475537,0.04276809861475537
12,0.3693178571398423,0.15026451802656882,True,True,72,0.042666665765019506,0.042666665765019506
14,0.3551128205709758,0.20815331548675817,True,True,73,0.042818287577083176,0.042818287577083176
16,0.3572754823214406,0.20646190088869976,True,True,74,0.0427868753795346,0.0427868753795346
16,0.3533215830612101,0.20583415557173082,True,True,75,0.04281657332382823,0.04281657332382823
16,0.3546807258675002,0.20916955530134862,True,True,76,0.042748685062935284,0.042748685062935284
18,0.34544074068045943,0.22215799995270577,True,True,77,0.042743144452151695,0.042743144452151695
16,0.3689844343500876,0.2167255346812424,True,True,78,0.04274791866437279,0.04274791866437279
15,0.37701098718500575,0.2059221538758302,False,True,79,0.03540264213650167,0.03540264213650167
20,0.3155489140720569,0.19418137766276206,True,True,80,0.04257278194112345,0.04257278194112345
14,0.35736273092872345,0.20345720170217205,True,True,81,0.04284860878373713,0.04284860878373713
17,0.36084678528371755,0.20239887642195317,True,True,82,0.0427848737268186,0.0427848737268186
17,0.3560661248867665,0.20450695078387654,True,True,83,0.04276011679913906,0.04276011679913906
18,0.3424248430722852,0.21355282313710772,True,True,84,0.042743263920162866,0.042743263920162866
14,0.33051533674452643,0.1951493572500563,True,True,85,0.0428404184626298,0.0428404184626298
20,0.3290371866463229,0.19441375561644547,True,True,86,0.042564058522192506,0.042564058522192506
14,0.35005118656090783,0.20159687861546513,True,True,87,0.04280835708041641,0.04280835708041641
15,0.3492465720535894,0.22253553642351534,True,True,88,0.04282796674010371,0.04282796674010371
14,0.3012209650470196,0.23256675765665924,True,True,89,0.04278540795169887,0.04278540795169887
14,0.37731450616137147,0.19593957627263842,True,True,90,0.042764690395265835,0.042764690395265835
16,0.3512605022111053,0.22460357086401836,True,True,91,0.042769430795785796,0.042769430795785796
15,0.34679908887788097,0.2124083471867048,True,True,92,0.04285685771179355,0.04285685771179355
15,0.31809252072583394,0.21322257114887716,True,True,93,0.04284897507716783,0.04284897507716783
15,0.3445191863918695,0.21958056982658708,True,True,94,0.04284396418303751,0.04284396418303751
15,0.34716889277632135,0.21862286679058074,True,True,95,0.04285870495774018,0.04285870495774018
15,0.33074897695530964,0.21967281297254582,False,True,96,0.034815806249032445,0.034815806249032445
19,0.34526092636427125,0.21177678828628274,True,True,97,0.04269683481901764,0.04269683481901764
15,0.3089972131364438,0.23116810694863094,True,True,98,0.042840981990984336,0.042840981990984336
15,0.307399291230028,0.2404053769281481,True,True,99,0.042853526132160376,0.042853526132160376
15,0.2923163533678546,0.2305284866547387,True,True,100,0.04282779317337056,0.04282779317337056
15,0.28684355127735695,0.23140529273852595,True,True,101,0.04281648541340482,0.04281648541340482
13,0.295230239798022,0.23726741608114282,True,True,102,0.042771346792191994,0.042771346792191994
18,0.30594483484710655,0.240047132541652,True,True,103,0.042684794472190694,0.042684794472190694
17,0.31538396525272766,0.22805159291687285,True,True,104,0.0427108576585964,0.0427108576585964
14,0.31058305737118475,0.24490170368678868,True,True,105,0.04282290062019489,0.04282290062019489
15,0.29160451028669704,0.24422257448350268,True,True,106,0.04285318688809082,0.04285318688809082
15,0.2948642811816041,0.21769097968305123,True,True,107,0.042809727581375016,0.042809727581375016
19,0.3206033831055979,0.22531436974670835,True,True,108,0.042673763968175495,0.042673763968175495
17,0.28806691906692816,0.24251037174546508,True,True,109,0.04271875043673253,0.04271875043673253
12,0.2747775823600671,0.22126647836938956,True,True,110,0.04278285742236539,0.04278285742236539
16,0.3088704617581695,0.24829271639980666,True,True,111,0.042693525780518604,0.042693525780518604
13,0.3099795513117423,0.2307282658870938,True,True,112,0.04284678069775441,0.04284678069775441
15,0.3268093223792304,0.22856503524740437,True,True,113,0.04280316585721258,0.04280316585721258
12,0.2922428494372778,0.23302149917163553,True,True,114,0.04287586665025484,0.04287586665025484
10,0.30215856150791154,0.21357590215619235,True,True,115,0.042698114028383034,0.042698114028383034
13,0.26706598760482675,0.23357533444281348,False,True,116,0.03402258035576145,0.03402258035576145
12,0.28005773417046403,0.23922705546440193,True,True,117,0.04290337134219192,0.04290337134219192
12,0.28171761991998057,0.24161257678572381,True,True,118,0.04287910468418103,0.04287910468418103
12,0.2795796988398721,0.23942010594360966,True,True,119,0.04289873237677586,0.04289873237677586
10,0.27471847686909434,0.23866792442720025,True,True,120,0.04271540984064593,0.04271540984064593
12,0.2828426625904059,0.25683935339368613,True,True,121,0.04289104134179068,0.04289104134179068
9,0.2799119112515309,0.2544589741634212,True,True,122,0.04263551391757065,0.04263551391757065
12,0.2629927072971885,0.2520337378924545,True,True,123,0.04283467723575185,0.04283467723575185
11,0.2847510405794645,0.24499412466224393,True,True,124,0.04289880788957572,0.04289880788957572
12,0.279329558604867,0.24546048966791495,True,True,125,0.042882869053590636,0.042882869053590636
11,0.2809019104961481,0.25884033293513636,True,True,126,0.04283124760218522,0.04283124760218522
9,0.2658837260791295,0.24276533286158714,True,True,127,0.04263086480864423,0.04263086480864423
11,0.28126760580662025,0.24765424697276023,True,True,128,0.04289739568751877,0.04289739568751877
11,0.28960602359245613,0.246086304581279,True,True,129,0.042919711410365595,0.042919711410365595
10,0.28165257573792774,0.24525214302928436,True,True,130,0.042708695963827724,0.042708695963827724
11,0.2906294426757239,0.24874195517324016,True,True,131,0.042923521989100225,0.042923521989100225
8,0.272516870044928,0.2503432855987292,True,True,132,0.042489735894545445,0.042489735894545445
11,0.29096859820089704,0.25654941376827306,True,True,133,0.04284254409158385,0.04284254409158385
8,0.2954594240733926,0.2401664076580676,True,True,134,0.042453200097195505,0.042453200097195505
12,0.2841698878040347,0.2605418162851427,True,True,135,0.042848639214268354,0.042848639214268354
10,0.24647605887420626,0.2456220049045197,True,True,136,0.042671849098826146,0.042671849098826146
11,0.27706946171718955,0.2510750549692799,True,True,137,0.042880538300315726,0.042880538300315726
7,0.25850361208489153,0.2533195603288628,False,True,138,0.034789394802103565,0.034789394802103565
12,0.27057193463191787,0.23558201058739447,True,True,139,0.04285185358000358,0.04285185358000358
9,0.2784098686908366,0.2514395999521243,True,True,140,0.04268193625637563,0.04268193625637563
11,0.2869103552727713,0.24816116174222114,True,True,141,0.04291857646425924,0.04291857646425924
11,0.2992774671399005,0.24778262474226212,True,True,142,0.04291014269890243,0.04291014269890243
11,0.2768678057029309,0.2617046702292368,True,True,143,0.04282869143756826,0.04282869143756826
9,0.2862786313963063,0.2478008536787321,True,True,144,0.04266179237180788,0.04266179237180788
11,0.29855495478933003,0.25521025218775817,True,True,145,0.04284993645654104,0.04284993645654104
12,0.26998631472975654,0.24937454859180466,True,True,146,0.04285747195770018,0.04285747195770018
12,0.2688174876177397,0.24973616382929414,True,True,147,0.042837962606059855,0.042837962606059855
10,0.2614213191471185,0.2578139018290048,True,True,148,0.04269811853660965,0.04269811853660965
11,0.28413622079986117,0.2684943788997954,True,True,149,0.04280864786104761,0.04280864786104761
13,0.27363145888904705,0.2470924986310629,True,True,150,0.042767033546165026,0.042767033546165026
12,0.2898449782766841,0.23806762620595323,True,True,151,0.04288858773933422,0.04288858773933422
10,0.29081097420371305,0.23593431191785924,True,True,152,0.04276316323342478,0.04276316323342478
12,0.2992534762462792,0.2425551372612884,True,True,153,0.0429085535489419,0.0429085535489419
11,0.30015960756918836,0.24183342444949035,True,True,154,0.042927519659248646,0.042927519659248646
11,0.3018331677608633,0.24330976208812516,True,True,155,0.042897628988257656,0.042897628988257656
8,0.3008952704571893,0.24175638293054563,True,True,156,0.04246321174194546,0.04246321174194546
11,0.29825529316337684,0.24025892645139324,True,True,157,0.042919025032829565,0.042919025032829565
11,0.3006635438774237,0.1258139749137343,True,True,158,0.0424822736520724,0.0424822736520724
6,0.28609582454910654,0.23737437139646514,True,True,159,0.04150900946592223,0.04150900946592223
2,0.29717651537114753,0.24540177785304879,True,True,160,0.029679948579164013,0.029679948579164013
10,0.28266250040373675,0.2424762979841094,True,True,161,0.042714167824152036,0.042714167824152036
11,0.3041497949252813,0.2393474613112291,True,True,162,0.042900770095306746,0.042900770095306746
11,0.3049373937651047,0.2530293941445399,True,True,163,0.04287653274077028,0.04287653274077028
11,0.2885087508929304,0.238300831007601,True,True,164,0.042903663249879875,0.042903663249879875
13,0.2898885444633527,0.23840936769565416,True,True,165,0.04278570774878368,0.04278570774878368
9,0.2935647473967405,0.24646986779274943,True,True,166,0.042672679739621015,0.042672679739621015
10,0.2994545477189592,0.2364511093066432,False,True,167,0.035280246031970434,0.035280246031970434
13,0.30322432006663597,0.24087020052207408,True,True,168,0.042726656739549444,0.042726656739549444
10,0.28780610617745433,0.24580240416937327,True,True,169,0.04272298591584668,0.04272298591584668
12,0.2963279230680613,0.2565286753115069,True,True,170,0.042876106713333965,0.042876106713333965
11,0.2755664420284376,0.2504770293654563,True,True,171,0.04285933723655456,0.04285933723655456
11,0.3123836857181102,0.23445841886415902,True,True,172,0.042875607427211776,0.042875607427211776
9,0.2783664254569836,0.24324961316126925,True,True,173,0.042670993662783804,0.042670993662783804
11,0.2885403129092226,0.25221038857403827,True,True,174,0.04289783185846534,0.04289783185846534
12,0.2879064563003566,0.2390371400549192,True,True,175,0.04289501196257805,0.04289501196257805
13,0.28757873712152515,0.23840911759288866,True,True,176,0.04281225331546106,0.04281225331546106
35,0.29503361761312097,0.22710314201110113,True,True,177,0.04141774830298914,0.04141774830298914
10,0.30273510381596813,0.263027818737602,True,True,178,0.042691594005318814,0.042691594005318814
11,0.29028377058236166,0.25387359591714753,True,True,179,0.04284920161556652,0.04284920161556652
13,0.3054728398449223,0.23360332477666576,True,True,180,0.042806362190040685,0.042806362190040685
12,0.28305559967622324,0.24723332279999025,True,True,181,0.042896647321863456,0.042896647321863456
12,0.285562351117938,0.24040115960410025,True,True,182,0.042890544309781835,0.042890544309781835
12,0.28354774879582667,0.24874084496129562,True,True,183,0.042889651680867946,0.042889651680867946
11,0.2969501267939496,0.2427362131491404,True,True,184,0.04290719995383419,0.04290719995383419
10,0.29822128184601,0.2587530038021374,True,True,185,0.042669064141697306,0.042669064141697306
9,0.29487659807614275,0.24325067260674865,True,True,186,0.04266406451813416,0.04266406451813416
11,0.3137606094388369,0.24818911037887792,True,True,187,0.042908394633946044,0.042908394633946044
11,0.31317956632691013,0.24793025416991862,True,True,188,0.04291907800449479,0.04291907800449479
11,0.31299194449558787,0.2511268015933335,True,True,189,0.042893340537478085,0.042893340537478085
9,0.3220933213358339,0.24819122174827793,True,True,190,0.04266096736629667,0.04266096736629667
10,0.3066547697970367,0.24347149765521783,True,True,191,0.04272763502477329,0.04272763502477329
11,0.3140455445126573,0.24439547612235374,True,True,192,0.04289496011796961,0.04289496011796961
11,0.3009513785211777,0.24771141429783766,True,True,193,0.04291372786629516,0.04291372786629516
11,0.3028793611763324,0.24774662869496744,True,True,194,0.042918604640676906,0.042918604640676906
8,0.3023305847934197,0.25388678838188106,True,True,195,0.04246491134346335,0.04246491134346335
10,0.30866700180794043,0.25188828894173465,True,True,196,0.04271094782313327,0.04271094782313327
11,0.29741476473128736,0.24827396579065764,False,True,197,0.035156317130314384,0.035156317130314384
11,0.30471392552453547,0.2404122323350032,True,True,198,0.042898564445326394,0.042898564445326394
9,0.3215819062761883,0.23379163104203154,True,True,199,0.04263341646503446,0.04263341646503446
10,0.313570498662091,0.24171910400431254,True,True,200,0.04275079491309552,0.04275079491309552
11,0.304964820257941,0.24612166576330557,True,True,201,0.042901810368649575,0.042901810368649575
11,0.3057381330569408,0.24014928836100588,True,True,202,0.042900568352155756,0.042900568352155756
10,0.3080114142540447,0.23825924146332897,True,True,203,0.04275629382278092,0.04275629382278092
13,0.31622434514185876,0.23556822876768596,True,True,204,0.04280582120282014,0.04280582120282014
11,0.2948920949405196,0.2456475835046662,True,True,205,0.04290220821966803,0.04290220821966803
