,topK,alpha,beta,result
261,13.0,0.3885961212869674,0.18315848357845357,0.055503377678892886
262,13.0,0.3808506389006517,0.2159962498133493,0.05536636961655028
263,13.0,0.40496171430192546,0.18031307311902334,0.05544839529574495
264,10.0,0.3965985699381672,0.20085088925083888,0.055095000705029054
265,12.0,0.3596156342694804,0.1780409829711044,0.05553818635666505
266,11.0,0.37240863357457915,0.234507774155863,0.05519676279184987
267,12.0,0.3582753802732945,0.1830706401280005,0.05558498725589197
268,9.0,0.38122906470146,0.1807909281695416,0.05485708507136651
269,11.0,0.3629745616554686,0.1995074966873519,0.05528273642190281
270,12.0,0.4111623375392447,0.17729041434403012,0.055441420842858115
271,10.0,0.5468304263433131,0.14039018815784163,0.054551526615366955
272,12.0,0.3866209608208315,0.16541232980338766,0.05542453133282797
273,13.0,0.3564936562284951,0.1921427198995875,0.05544866749128305
274,11.0,0.31172951388165454,0.2111293123379312,0.055230103398604825
275,9.0,0.36365738317150037,0.17133709974480382,0.05489450414897168
276,12.0,0.39579807769114245,0.14351397070800045,0.055294946176677254
277,13.0,0.3501290758833898,0.19014171706063848,0.055454836513110485
278,11.0,0.30788142118434403,0.1671992670462648,0.05529341228788625
279,10.0,0.3736450001836061,0.21057551760208434,0.05511506173930079
280,13.0,0.32664896074208055,0.12212887665560682,0.05535487939506355
281,12.0,0.4937282325053647,0.1816800414204178,0.055188185285731974
282,8.0,0.3494312188581722,0.14904153679466176,0.05439270051886529
283,12.0,0.3398992799745526,0.22397342490094654,0.05535459492841492
284,11.0,0.7386781049602709,0.18961043972129213,0.05425318357223881
285,13.0,0.575071122466543,0.15995813144370566,0.05505514971646841
286,11.0,0.31060888996100505,0.2081807171363822,0.05523692613594587
287,13.0,0.36511729818834265,0.24859496473625148,0.05534639559560642
288,25.0,0.32819083123241793,0.17468998846873654,0.05446396220319383
289,10.0,0.3915746622291407,0.13701950336783264,0.05484660665870409
290,12.0,0.30199767068151406,0.19962755748995545,0.055409538267120764
291,12.0,0.3518310521428514,0.08826287004306681,0.05504733413474663
292,13.0,0.3763028031114257,0.155691938418349,0.055470468792110234
293,15.0,0.32208904224149976,0.17998460191881777,0.05535529103503709
294,34.0,0.42004777855808584,0.22929539889058903,0.053689272506106854
295,11.0,0.33855126831223437,0.42697999776020273,0.0540396963725688
296,14.0,0.3596158770391826,0.20163856385954393,0.05549763926148242
297,14.0,0.35969554696939554,0.16501812083151052,0.055468339196690794
298,10.0,0.32011867736318506,0.19678543071053398,0.055199402196124944
299,13.0,0.3381390676689048,0.11452356481427528,0.05529931469195302
