topK,l1_ratio,alpha,iteration,RECALL,MAP
301,0.13339882844817885,0.000256310813356201,60,0.12773048571406073,0.030629201586569465
291,0.10012529126145228,0.0003096355924811977,61,0.1278391468949297,0.030596233358196924
292,0.11766922945946143,0.00032380629973188384,62,0.12826836313785295,0.030545194993838006
293,0.1206262441336478,0.00036438967531361277,63,0.12809198272277053,0.03041070423024375
295,0.16216591654254475,0.00016377480746310286,64,0.12669675589360177,0.030491266824628126
297,0.13982658732089692,0.0003875820689152043,65,0.1268796629653039,0.030255138116445143
292,0.20031774334942193,0.0003419435694553875,66,0.1260825140773447,0.0300373514989955
294,0.1791998105686144,0.00028204109084228684,67,0.12713236610548037,0.03044008562689371
296,0.11580263541727265,0.0004535373226219272,68,0.12714887941587083,0.030190275766683046
298,0.1456674002984063,0.0005211551504283614,69,0.1249829184375106,0.029648624183220843
291,0.16278360882599405,0.00040216672732564516,70,0.12611458944929443,0.030010302285698863
291,0.11651486669802175,0.00032087510897765175,71,0.1282866061035551,0.030531012210995922
290,0.12462288557176004,0.00032483007531630264,72,0.12834450297735792,0.03053778594099006
290,0.1013516877085175,0.00026241508010849357,73,0.12763156354452104,0.03059530779792436
291,0.1351558963869497,0.0009116324557720231,74,0.1168964409973443,0.02769961478409923
293,0.5824619774416143,0.00029819514128891824,75,0.11310022280583319,0.027201096594669037
292,0.11065693652797873,0.0003196596094058554,76,0.1280980258392244,0.030538358417158663
290,0.15738048033090735,0.00019569185116115594,77,0.12742056318486858,0.03059960308318888
294,0.2981483750845808,0.00036587109924734323,78,0.12124660295140824,0.029002970477140417
293,0.1309270475107343,0.00033404713685761473,79,0.12823945891396296,0.030468112963144937
291,0.5334375808183567,0.0002398294057449645,80,0.11972323296186713,0.028662655676951827
299,0.12141593801227914,0.0002925460727616056,81,0.12798467839648262,0.03060395435913682
295,0.12684740951694537,0.00033033190446123215,82,0.12826962136155165,0.03050164566901694
295,0.15026200522410865,0.0003928851715856391,83,0.12652280674792354,0.03015658651543154
292,0.11533979720871075,0.0003662178878054885,84,0.12830833233951622,0.030448912729492298
292,0.11500070258967421,0.0003535271854969612,85,0.12847829991255766,0.030476149340177484
290,0.1018269791487743,0.0004756336659780953,86,0.1275740282088835,0.030237063409790668
292,0.14082128355330442,0.00042770394302464284,87,0.12662215829949702,0.030072729612077447
293,0.11265902478137678,0.0003831617180428088,88,0.12794014866052855,0.03041119900505607
291,0.172401173170287,0.0003638786633424729,89,0.12642748025178752,0.03012961500349114
294,0.44778449635009,0.00044507587738518454,90,0.10826678788681572,0.02616085140575424
292,0.1104083123385529,0.00029386659415126643,91,0.1280433300027892,0.030614272642174353
290,0.12724615044735008,0.00035020568249476245,92,0.1280904822358329,0.030412867298880597
295,0.11241395136244471,0.00026733319390623934,93,0.12772963515471814,0.030629844908092115
293,0.1527222294918979,0.0003138766775148934,94,0.12753463589593622,0.030425370361228228
292,0.13959607625418488,0.00040742734617432627,95,0.1266974539010864,0.030182821007154977
291,0.12583914683052813,0.00033830781068319233,96,0.12830080177979983,0.030482491142044536
291,0.12820042515302368,0.0003705846557441874,97,0.12754608482837934,0.03036841640979428
290,0.19565480762560777,0.0007822293247459054,98,0.11372208394523835,0.026998850248460892
297,0.33625123585063454,0.0002505032311320224,99,0.1246511282236462,0.029741425883875024
