x_0,x_1,x_2,iteration,RECALL_val,SLIM_w,RP3b_w,ItemKNN_w,RECALL_test
0.5501152902515373,0.032974179110717206,0.7582920259752324,0,0.3073643260959522,0.13942588884451948,0.7960233725701232,0.06455073858535725,0.3409884765215818
0.42729222151299484,0.1479904501303888,0.2525462242065508,1,0.31026273388199566,0.2055295387091001,0.46182785366152024,0.3326426076293796,0.3450470111698949
0.9255104433331489,0.8328831079394795,0.3678814256091014,2,0.30331224710972265,0.061423410525183304,0.14509786753207735,0.7934787219427393,0.33645816018269287
0.9838447149592864,0.9772603943596407,0.4072496755473062,3,0.30257862960151705,0.017370828440113645,0.02453252160684805,0.9580966499530383,0.3357156723674652
0.06271194517210466,0.6466302621411065,0.49445773776579316,4,0.32102498230830584,0.7083307946509219,0.11151889421969849,0.18015031112937951,0.35695369859083365
0.34233729241575306,0.2507677734500787,0.3220394810906021,5,0.31218851742495857,0.2987399001733418,0.38548626075548226,0.3157738390711759,0.3476783147430791
0.5989163965241245,0.1396260972630995,0.7569902947839057,6,0.30866409894274205,0.18574844850901753,0.7133738440789369,0.10087770741204559,0.3427443618319663
0.4910730265521419,0.9343799889477234,0.25876087903863776,7,0.3123200046147821,0.3337403457143886,0.031851587556814415,0.6344080667287969,0.3464249066513322
0.3225748101023729,0.6198803799265449,0.29741379571359994,8,0.3150868154009853,0.40088874065890673,0.16944767589064788,0.42966358345044536,0.350319030348333
0.501536904427946,0.6415904559854049,0.40126812586152516,9,0.3132739221423155,0.3371153793658334,0.21680665844547192,0.44607796218869467,0.3486458403105342
0.009184682409890496,0.4350751229039383,0.03278899490622311,10,0.31776871382076943,0.5246260327575494,0.0930901197646678,0.38228384747778277,0.3538649705785906
0.025003210312905436,0.4483978880173372,0.04014958482495412,11,0.3172230093328964,0.478687531224064,0.10408481361360775,0.4172276551623283,0.3524250364683386
0.002046697700742728,0.3939286702012271,0.9646550619597339,12,0.3209452759028646,0.8648474785018415,0.13012609339210054,0.00502642810605791,0.35669547852386396
0.17045629145079422,0.6356121444404267,0.6035728519426028,13,0.3204601616327647,0.6487206564067612,0.1661575479813782,0.18512179561186057,0.3562404315994951
0.16647870196794468,0.3682437529443635,0.9615717021342456,14,0.31776386695122877,0.633286667279869,0.35287194178569403,0.013841390934437061,0.3530373239092281
0.1591911765504343,0.7818151208379732,0.9930519936150198,15,0.32114090320834277,0.8789390452613292,0.11772615753511344,0.0033347972035573476,0.3566060673226331
0.17878193116504099,0.7292751898989795,0.5914080667353072,16,0.32074237751128815,0.6718284893984473,0.12319960932044526,0.20497190128110732,0.35665635658065126
0.2544127603765961,0.7911567265583285,0.7549548438550552,17,0.32114171367331207,0.7264785242885217,0.12433124649112284,0.1491902292203556,0.3571125124439175
0.731418479397071,0.7824701388371509,0.8657104617701816,18,0.3152645567972931,0.445366908434545,0.349293283017316,0.20533980854813902,0.3512716481621287
0.29036616885079336,0.8270316473306452,0.8006576288527253,19,0.32108841310950537,0.749986352776122,0.11517888253047297,0.134834764693405,0.3572292348702458
0.24261333000774263,0.9284045469276645,0.6443015462481094,20,0.320214629946539,0.7337653494943418,0.03848779999079238,0.22774685051486568,0.35657080434785043
0.2867112260362455,0.8428397720454678,0.8470088038704813,21,0.3211112481666995,0.7875420166598852,0.10778424927690519,0.10467373406320975,0.3574249521557525
0.4095003025978062,0.7498659739140743,0.8706207389330776,22,0.32003104157184076,0.676773189102765,0.21820409539331212,0.1050227155039228,0.3557223443089703
0.11248528726611787,0.8817564795338378,0.9797320676870437,23,0.32096292035016233,0.9372372719184829,0.05397938888964829,0.008783339191868831,0.35674139501055546
0.2621343486389326,0.5605766050127736,0.8713132042033761,24,0.3188137511243764,0.6513920599483808,0.2815888639044447,0.06701907614717452,0.3544831433036826
0.37565762836221495,0.7174396383088677,0.6853363552310567,25,0.318921933789998,0.5796823134241215,0.19660663362187264,0.22371105295400587,0.35519887635367464
0.221694371932795,0.5345336160057025,0.8165335448447066,26,0.3190019946050936,0.6450238909189714,0.2681908464843359,0.08678526259669266,0.354766598702357
